Rank,Name,Ticker,Sector,Industry,Revenue,Profit
1,Walmart,WMT,Consumer Defensive,Discount Stores,"523,964.00","14,881.00"
2,Amazon.com,AMZN,Consumer Cyclical,Internet Retail,"280,522.00","11,588.00"
3,Exxon Mobil,XOM,Energy,Oil & Gas Integrated,"264,938.00","14,340.00"
4,Apple,AAPL,Technology,Consumer Electronics,"260,174.00","55,256.00"
5,CVS Health,CVS,Healthcare,Healthcare Plans,"256,776.00","6,634.00"
6,Berkshire Hathaway,BRKA,,,"254,616.00","81,417.00"
7,UnitedHealth Group,UNH,Healthcare,Healthcare Plans,"242,155.00","13,839.00"
8,McKesson,MCK,Healthcare,Medical Distribution,"214,319.00",34
9,AT&T,T,Communication Services,Telecom Services,"181,193.00","13,903.00"
10,AmerisourceBergen,ABC,,,"179,589.10",855.4
11,Alphabet,GOOGL,Communication Services,Internet Content & Information,"161,857.00","34,343.00"
12,Ford Motor,F,Consumer Cyclical,Auto Manufacturers,"155,900.00",47
13,Cigna,CI,Healthcare,Healthcare Plans,"153,566.00","5,104.00"
14,Costco Wholesale,COST,Consumer Defensive,Discount Stores,"152,703.00","3,659.00"
15,Chevron,CVX,Energy,Oil & Gas Integrated,"146,516.00","2,924.00"
16,Cardinal Health,CAH,Healthcare,Medical Distribution,"145,534.00","1,363.00"
17,JPMorgan Chase,JPM,Financial Services,Banks - Diversified,"142,422.00","36,431.00"
18,General Motors,GM,Consumer Cyclical,Auto Manufacturers,"137,237.00","6,732.00"
19,Walgreens Boots Alliance,WBA,Healthcare,Pharmaceutical Retailers,"136,866.00","3,982.00"
20,Verizon Communications,VZ,Communication Services,Telecom Services,"131,868.00","19,265.00"
21,Microsoft,MSFT,Technology,Software - Infrastructure,"125,843.00","39,240.00"
22,Marathon Petroleum,MPC,Energy,Oil & Gas Refining & Marketing,"124,813.00","2,637.00"
23,Kroger,KR,Consumer Defensive,Grocery Stores,"122,286.00","1,659.00"
24,Fannie Mae,FNMA,Financial Services,Mortgage Finance,"120,304.00","14,160.00"
25,Bank of America,BAC,Financial Services,Banks - Diversified,"113,589.00","27,430.00"
26,Home Depot,HD,Consumer Cyclical,Home Improvement Retail,"110,225.00","11,242.00"
27,Phillips 66,PSX,Energy,Oil & Gas Refining & Marketing,"109,559.00","3,076.00"
28,Comcast,CMCSA,Communication Services,Telecom Services,"108,942.00","13,057.00"
29,Anthem,ANTM,,,"104,213.00","4,807.00"
30,Wells Fargo,WFC,Financial Services,Banks - Diversified,"103,915.00","19,549.00"
31,Citigroup,C,Financial Services,Banks - Diversified,"103,449.00","19,401.00"
32,Valero Energy,VLO,Energy,Oil & Gas Refining & Marketing,"102,729.00","2,422.00"
33,General Electric,GE,Industrials,Specialty Industrial Machinery,"95,214.00","-4,979.00"
34,Dell Technologies,DELL,Technology,Computer Hardware,"92,154.00","4,616.00"
35,Johnson & Johnson,JNJ,Healthcare,Drug Manufacturers - General,"82,059.00","15,119.00"
36,State Farm Insurance,,,,"79,395.30","5,592.70"
37,Target,TGT,Consumer Defensive,Discount Stores,"78,112.00","3,281.00"
38,IBM,IBM,Technology,Information Technology Services,"77,147.00","9,431.00"
39,Raytheon Technologies,RTX,Industrials,Aerospace & Defense,"77,046.00","5,537.00"
40,Boeing,BA,Industrials,Aerospace & Defense,"76,559.00",-636
41,Freddie Mac,FMCC,Financial Services,Mortgage Finance,"75,125.00","7,214.00"
42,Centene,CNC,Healthcare,Healthcare Plans,"74,639.00","1,321.00"
43,United Parcel Service,UPS,Industrials,Integrated Freight & Logistics,"74,094.00","4,440.00"
44,Lowe's,LOW,Consumer Cyclical,Home Improvement Retail,"72,148.00","4,281.00"
45,Intel,INTC,Technology,Semiconductors,"71,965.00","21,048.00"
46,Facebook,FB,,,"70,697.00","18,485.00"
47,FedEx,FDX,Industrials,Integrated Freight & Logistics,"69,693.00",540
48,MetLife,MET,Financial Services,Insurance - Life,"69,620.00","5,899.00"
49,Walt Disney,DIS,Communication Services,Entertainment,"69,570.00","11,054.00"
50,Procter & Gamble,PG,Consumer Defensive,Household & Personal Products,"67,684.00","3,897.00"
51,PepsiCo,PEP,Consumer Defensive,Beverages - Non-Alcoholic,"67,161.00","7,314.00"
52,Humana,HUM,Healthcare,Healthcare Plans,"64,888.00","2,707.00"
53,Prudential Financial,PRU,Financial Services,Insurance - Life,"64,807.00","4,186.00"
54,Archer Daniels Midland,ADM,Consumer Defensive,Farm Products,"64,656.00","1,379.00"
55,Albertsons,,,,"60,534.50",131.1
56,Sysco,SYY,Consumer Defensive,Food Distribution,"60,113.90","1,674.30"
57,Lockheed Martin,LMT,Industrials,Aerospace & Defense,"59,812.00","6,230.00"
58,HP,HPQ,Technology,Computer Hardware,"58,756.00","3,152.00"
59,Energy Transfer,ET,Energy,Oil & Gas Midstream,"54,213.00","3,592.00"
60,Goldman Sachs Group,GS,Financial Services,Capital Markets,"53,922.00","8,466.00"
61,Morgan Stanley,MS,Financial Services,Capital Markets,"53,823.00","9,042.00"
62,Caterpillar,CAT,Industrials,Farm & Heavy Construction Machinery,"53,800.00","6,093.00"
