Rank,Name,Ticker,Sector,Industry,Revenue,Profit
1,Wal-Mart Stores,WMT,Consumer Defensive,Discount Stores,476294,16022
2,Exxon Mobil,XOM,Energy,Oil & Gas Integrated,407666,32580
3,Chevron,CVX,Energy,Oil & Gas Integrated,220356,21423
4,Berkshire Hathaway,BRKA,Financial Services,,182150,19476
5,Apple,AAPL,Technology,Consumer Electronics,170910,37037
6,Phillips 66,PSX,Energy,Oil & Gas Refining & Marketing,161175,3726
7,General Motors,GM,Consumer Cyclical,Auto Manufacturers,155427,5346
8,Ford Motor,F,Consumer Cyclical,Auto Manufacturers,146917,7155
9,General Electric,GE,Industrials,Specialty Industrial Machinery,146231,13057
10,Valero Energy,VLO,Energy,Oil & Gas Refining & Marketing,137758,2720
11,AT&T,T,Communication Services,Telecom Services,128752,18249
12,CVS Caremark,CVS,Healthcare,Healthcare Plans,126761,4592
13,Fannie Mae,FNMA,Financial Services,Mortgage Finance,125696,83963
14,UnitedHealth Group,UNH,Healthcare,Healthcare Plans,122489,5625
15,McKesson,MCK,Healthcare,Medical Distribution,122455,1338
16,Verizon Communications,VZ,Communication Services,Telecom Services,120550,11497
17,Hewlett-Packard,HPE,Technology,Communication Equipment,112298,5113
18,J.P. Morgan Chase & Co.,JPM,Financial Services,Banks - Diversified,106283,17923
19,Costco Wholesale,COST,Consumer Defensive,Discount Stores,105156,2039
20,Express Scripts Holding,ESRX,Healthcare,,104620,1845
21,Bank of America Corp.,BAC,Financial Services,Banks - Diversified,101697,11431
22,Cardinal Health,CAH,Healthcare,Medical Distribution,101093,334
23,International Business Machines,IBM,Technology,Information Technology Services,99751,16483
24,Kroger,KR,Consumer Defensive,Grocery Stores,98375,1519
25,Marathon Petroleum,MPC,Energy,Oil & Gas Refining & Marketing,93991,2112
26,Citigroup,C,Financial Services,Banks - Diversified,93629,13673
27,Archer Daniels Midland,ADM,Consumer Defensive,Farm Products,89804,1342
28,AmerisourceBergen,ABC,Healthcare,,89140,434
29,Wells Fargo,WFC,Financial Services,Banks - Diversified,88069,21878
30,Boeing,BA,Industrials,Aerospace & Defense,86623,4585
31,Procter & Gamble,PG,Consumer Defensive,Household & Personal Products,84167,11312
32,Freddie Mac,FMCC,Financial Services,Mortgage Finance,81221,48668
33,Home Depot,HD,Consumer Cyclical,Home Improvement Retail,78812,5385
34,Microsoft,MSFT,Technology,Software - Infrastructure,77849,21863
35,Amazon.com,AMZN,Consumer Cyclical,Internet Retail,74452,274
36,Target,TGT,Consumer Defensive,Discount Stores,72596,1971
37,Walgreen,WBA,Healthcare,Pharmaceutical Retailers,72217,2450
38,WellPoint,ANTM,Healthcare,,71458,2490
39,Johnson & Johnson,JNJ,Healthcare,Drug Manufacturers - General,71312,13831
40,American International Group,AIG,Financial Services,Insurance - Diversified,68678,9085
41,State Farm Insurance Cos.,,Financial Services,,68291,5189
42,MetLife,MET,Financial Services,Insurance - Life,68202,3368
43,PepsiCo,PEP,Consumer Defensive,Beverages - Non-Alcoholic,66415,6740
44,Comcast,CMCSA,Communication Services,Telecom Services,64657,6816
45,United Technologies,UTX,Industrials,,62935,5721
46,Google,GOOG,Communication Services,Internet Content & Information,60629,12920
47,ConocoPhillips,COP,Energy,Oil & Gas E&P,59433,9156
48,Dow Chemical,,Basic Materials,,57080,4787
49,Caterpillar,CAT,Industrials,Farm & Heavy Construction Machinery,55656,3789
50,United Parcel Service,UPS,Industrials,Integrated Freight & Logistics,55438,4372
51,Pfizer,PFE,Healthcare,Drug Manufacturers - General,53785,22003
52,Lowe's,LOW,Consumer Cyclical,Home Improvement Retail,53417,2286
53,Intel,INTC,Technology,Semiconductors,52708,9620
54,Energy Transfer Equity,ET,Energy,Oil & Gas Midstream,48750,196
55,Cisco Systems,CSCO,Technology,Communication Equipment,48607,9983
56,Enterprise Products Partners,EPD,Energy,Oil & Gas Midstream,47727,2597
57,Aetna,AET,Healthcare,,47295,1914
58,Coca-Cola,KO,Consumer Defensive,Beverages - Non-Alcoholic,46854,8584
59,Lockheed Martin,LMT,Industrials,Aerospace & Defense,45358,2981
60,Best Buy,BBY,Consumer Cyclical,Specialty Retail,45225,532
61,Walt Disney,DIS,Communication Services,Entertainment,45041,6136
62,CHS,,Basic Materials,,44480,992
63,Sysco,SYY,Consumer Defensive,Food Distribution,44411,992
64,FedEx,FDX,Industrials,Integrated Freight & Logistics,44287,1561
65,Merck,MRK,Healthcare,Drug Manufacturers - General,44033,4404
66,INTL FCStone,SNEX,Financial Services,Capital Markets,43768,19
67,Safeway,,Consumer Defensive,,42982,3508
