Rank,Name,Ticker,Sector,Industry,Revenue,Profit
1,Walmart,WMT,Consumer Defensive,Discount Stores,514405,6670
2,Exxon Mobil,XOM,Energy,Oil & Gas Integrated,290212,20840
3,Apple,AAPL,Technology,Consumer Electronics,265595,59531
4,Berkshire Hathaway,BRKA,Financial Services,,247837,4021
5,Amazon.com,AMZN,Consumer Cyclical,Internet Retail,232887,10073
6,UnitedHealth Group,UNH,Healthcare,Healthcare Plans,226247,11986
7,McKesson,MCK,Healthcare,Medical Distribution,208357,67
8,CVS Health,CVS,Healthcare,Healthcare Plans,194579,-594
9,AT&T,T,Communication Services,Telecom Services,170756,19370
10,AmerisourceBergen,ABC,Healthcare,,167939.6,1658.4
11,Chevron,CVX,Energy,Oil & Gas Integrated,166339,14824
12,Ford Motor,F,Consumer Cyclical,Auto Manufacturers,160338,3677
13,General Motors,GM,Consumer Cyclical,Auto Manufacturers,147049,8014
14,Costco Wholesale,COST,Consumer Defensive,Discount Stores,141576,3134
15,Alphabet,GOOGL,Communication Services,Internet Content & Information,136819,30736
16,Cardinal Health,CAH,Healthcare,Medical Distribution,136809,256
17,Walgreens Boots Alliance,WBA,Healthcare,Pharmaceutical Retailers,131537,5024
18,JPMorgan Chase,JPM,Financial Services,Banks - Diversified,131412,32474
19,Verizon Communications,VZ,Communication Services,Telecom Services,130863,15528
20,Kroger,KR,Consumer Defensive,Grocery Stores,121162,3110
21,General Electric,GE,Industrials,Specialty Industrial Machinery,120268,-22355
22,Fannie Mae,FNMA,Financial Services,Mortgage Finance,120101,15959
23,Phillips 66,PSX,Energy,Oil & Gas Refining & Marketing,114217,5595
24,Valero Energy,VLO,Energy,Oil & Gas Refining & Marketing,111407,3122
25,Bank of America,BAC,Financial Services,Banks - Diversified,110584,28147
26,Microsoft,MSFT,Technology,Software - Infrastructure,110360,16571
27,Home Depot,HD,Consumer Cyclical,Home Improvement Retail,108203,11121
28,Boeing,BA,Industrials,Aerospace & Defense,101127,10460
29,Wells Fargo,WFC,Financial Services,Banks - Diversified,101060,22393
30,Citigroup,C,Financial Services,Banks - Diversified,97120,18045
31,Marathon Petroleum,MPC,Energy,Oil & Gas Refining & Marketing,97102,2780
32,Comcast,CMCSA,Communication Services,Telecom Services,94507,11731
33,Anthem,ANTM,Healthcare,,92105,3750
34,Dell Technologies,DELL,Technology,Computer Hardware,90621,-2310
35,DuPont de Nemours,DD,Basic Materials,Specialty Chemicals,85977,3844
36,State Farm Insurance,,Financial Services,,81732.2,8788.4
37,Johnson & Johnson,JNJ,Healthcare,Drug Manufacturers - General,81581,15297
38,IBM,IBM,Technology,Information Technology Services,79591,8728
39,Target,TGT,Consumer Defensive,Discount Stores,75356,2937
40,Freddie Mac,FMCC,Financial Services,Mortgage Finance,73598,9235
41,United Parcel Service,UPS,Industrials,Integrated Freight & Logistics,71861,4791
42,Lowe's,LOW,Consumer Cyclical,Home Improvement Retail,71309,2314
43,Intel,INTC,Technology,Semiconductors,70848,21053
44,MetLife,MET,Financial Services,Insurance - Life,67941,5123
45,Procter & Gamble,PG,Consumer Defensive,Household & Personal Products,66832,9750
46,United Technologies,UTX,Industrials,,66501,5269
47,FedEx,FDX,Industrials,Integrated Freight & Logistics,65450,4572
48,PepsiCo,PEP,Consumer Defensive,Beverages - Non-Alcoholic,64661,12515
49,Archer Daniels Midland,ADM,Consumer Defensive,Farm Products,64341,1810
50,Prudential Financial,PRU,Financial Services,Insurance - Life,62992,4074
51,Centene,CNC,Healthcare,Healthcare Plans,60116,900
52,Albertsons,,Consumer Defensive,,59924.6,46.3
53,Walt Disney,DIS,Communication Services,Entertainment,59434,12598
54,Sysco,SYY,Consumer Defensive,Food Distribution,58727.3,1430.8
55,HP,HPQ,Technology,Computer Hardware,58472,5327
56,Humana,HUM,Healthcare,Healthcare Plans,56912,1683
57,Facebook,FB,Communication Services,,55838,22112
58,Caterpillar,CAT,Industrials,Farm & Heavy Construction Machinery,54722,6147
59,Energy Transfer,ET,Energy,Oil & Gas Midstream,54436,1694
60,Lockheed Martin,LMT,Industrials,Aerospace & Defense,53762,5046
61,Pfizer,PFE,Healthcare,Drug Manufacturers - General,53647,11153
62,Goldman Sachs Group,GS,Financial Services,Capital Markets,52528,10459
63,Morgan Stanley,MS,Financial Services,Capital Markets,50193,8748
64,Cisco Systems,CSCO,Technology,Communication Equipment,49330,110
65,Cigna,CI,Healthcare,Healthcare Plans,48650,2637
66,AIG,AIG,Financial Services,Insurance - Diversified,47389,-6
67,HCA Healthcare,HCA,Healthcare,Medical Care Facilities,46677,3787
68,American Airlines Group,AAL,Industrials,Airlines,44541,1412
69,Delta Air Lines,DAL,Industrials,Airlines,44438,3935
70,Charter Communications,CHTR,Communication Services,Telecom Services,43634,1230
71,New York Life Insurance,,Financial Services,,43425.3,880
72,American Express,AXP,Financial Services,Credit Services,43281,6921
73,Nationwide,,Financial Services,,43270,512.6
74,Best Buy,BBY,Consumer Cyclical,Specialty Retail,42879,1464
75,Liberty Mutual Insurance Group,,Financial Services,,42685,2160
76,Merck,MRK,Healthcare,Drug Manufacturers - General,42294,6220
77,Honeywell International,HON,Industrials,Conglomerates,41802,6765
78,United Continental Holdings,UAL,Industrials,Airlines,41303,2129
79,TIAA,,Financial Services,,41052.1,1560.5
80,Tyson Foods,TSN,Consumer Defensive,Farm Products,40052,3024
81,Oracle,ORCL,Technology,Software - Infrastructure,39831,3825
82,Allstate,ALL,Financial Services,Insurance - Property & Casualty,39815,2252
83,World Fuel Services,INT,Energy,,39750.3,127.7
84,Massachusetts Mutual Life Insurance,,Financial Services,,39267.2,397.9
85,TJX,TJX,Consumer Cyclical,Apparel Retail,38972.9,3059.8
86,ConocoPhillips,COP,Energy,Oil & Gas E&P,38727,6257
87,Deere,DE,Industrials,Farm & Heavy Construction Machinery,37357.7,2368.4
88,Tech Data,TECD,Technology,,37239,340.6
89,Enterprise Products Partners,EPD,Energy,Oil & Gas Midstream,36534.2,4172.4
90,Nike,NKE,Consumer Cyclical,Footwear & Accessories,36397,1933
91,Publix Super Markets,,Consumer Defensive,,36395.7,2381.2
92,General Dynamics,GD,Industrials,Aerospace & Defense,36193,3345
93,Exelon,EXC,Utilities,Utilities - Regulated Electric,35985,2010
94,Plains GP Holdings,PAGP,Energy,Oil & Gas Midstream,34055,334
95,3M,MMM,Industrials,Conglomerates,32765,5349
96,AbbVie,ABBV,Healthcare,Drug Manufacturers - General,32753,5687
97,CHS,,Basic Materials,,32683.3,775.9
98,Capital One Financial,COF,Financial Services,Credit Services,32377,6015
99,Progressive,PGR,Financial Services,Insurance - Property & Casualty,31979,2615.3
100,Coca-Cola,KO,Consumer Defensive,Beverages - Non-Alcoholic,31856,6434
101,USAA,UATXX,Financial Services,,31367.8,2291.9
102,Hewlett Packard Enterprise,HPE,Technology,Communication Equipment,30852,1908
103,Abbott Laboratories,ABT,Healthcare,Medical Devices,30578,2368
104,Twenty-First Century Fox,FOXA,Communication Services,Entertainment,30400,4464
105,Micron Technology,MU,Technology,Semiconductors,30391,14135
106,Travelers,TRV,Financial Services,Insurance - Property & Casualty,30282,2523
107,Rite Aid,RAD,Healthcare,,30215.4,943.5
108,Northrop Grumman,NOC,Industrials,Aerospace & Defense,30095,3229
109,Arrow Electronics,ARW,Technology,Electronics & Computer Distribution,29676.8,716.2
110,Philip Morris International,PM,Consumer Defensive,Tobacco,29625,7911
111,Northwestern Mutual,,Financial Services,,29124,783
112,INTL FCStone,SNEX,Financial Services,Capital Markets,27622.7,55.5
113,PBF Energy,PBF,Energy,Oil & Gas Refining & Marketing,27186.1,128.3
114,Raytheon,RTN,Industrials,,27058,2909
115,Kraft Heinz,KHC,Consumer Defensive,Packaged Foods,26259,-10229
116,Mondelez International,MDLZ,Consumer Defensive,Confectioners,25938,3381
117,U.S. Bancorp,USB,Financial Services,Banks - Regional,25775,7096
118,Macy's,M,Consumer Cyclical,Department Stores,25739,1108
119,Dollar General,DG,Consumer Defensive,Discount Stores,25625,1589.5
120,Nucor,NUE,Basic Materials,Steel,25067.3,2360.8
121,Starbucks,SBUX,Consumer Cyclical,Restaurants,24719.5,4518.3
122,DXC Technology,DXC,Technology,Information Technology Services,24556,1751
123,Eli Lilly,LLY,Healthcare,Drug Manufacturers - General,24555.7,3232
124,Thermo Fisher Scientific,TMO,Healthcare,Diagnostics & Research,24358,2938
125,US Foods Holding,USFD,Consumer Defensive,Food Distribution,24175,407
126,Duke Energy,DUK,Utilities,Utilities - Regulated Electric,24116,2666
127,Halliburton,HAL,Energy,Oil & Gas Equipment & Services,23995,1656
128,Cummins,CMI,Industrials,Specialty Industrial Machinery,23771,2141
129,Amgen,AMGN,Healthcare,Drug Manufacturers - General,23747,8394
130,Paccar,PCAR,Industrials,Farm & Heavy Construction Machinery,23495.7,2195.1
131,Southern,SO,Utilities,Utilities - Regulated Electric,23495,2226
132,CenturyLink,,Communication Services,,23443,-1733
133,International Paper,IP,Consumer Cyclical,Packaging & Containers,23306,2012
134,Union Pacific,UNP,Industrials,Railroads,22832,5966
135,Dollar Tree,DLTR,Consumer Defensive,Discount Stores,22823.3,-1590.8
136,Penske Automotive Group,PAG,Consumer Cyclical,Auto & Truck Dealerships,22785.1,471
137,Qualcomm,QCOM,Technology,Semiconductors,22732,-4864
138,Bristol-Myers Squibb,BMY,Healthcare,Drug Manufacturers - General,22561,4920
139,Gilead Sciences,GILD,Healthcare,Drug Manufacturers - General,22127,5455
140,Jabil,JBL,Technology,Electronic Components,22095.4,86.3
141,ManpowerGroup,MAN,Industrials,Staffing & Employment Services,21991.2,556.7
142,Southwest Airlines,LUV,Industrials,Airlines,21965,2465
143,Aflac,AFL,Financial Services,Insurance - Life,21758,2920
144,Tesla,TSLA,Consumer Cyclical,Auto Manufacturers,21461.3,-976.1
145,AutoNation,AN,Consumer Cyclical,Auto & Truck Dealerships,21412.8,396
146,CBRE Group,CBRE,Real Estate,Real Estate Services,21340.1,1063.2
147,Lear,LEA,Consumer Cyclical,Auto Parts,21148.5,1149.8
148,Whirlpool,WHR,Consumer Cyclical,"Furnishings, Fixtures & Appliances",21037,-183
149,McDonald's,MCD,Consumer Cyclical,Restaurants,21025.2,5924.3
150,Broadcom,AVGO,Technology,Semiconductors,20848,12259
151,Marriott International,MAR,Consumer Cyclical,Lodging,20758,1907
152,Western Digital,WDC,Technology,Computer Hardware,20647,675
153,Visa,V,Financial Services,Credit Services,20609,10301
154,Lennar,LEN,Consumer Cyclical,Residential Construction,20571.6,1695.8
155,WellCare Health Plans,,Healthcare,,20414.1,439.8
156,Kohl's,KSS,Consumer Cyclical,Department Stores,20229,801
157,AECOM,ACM,Industrials,Engineering & Construction,20155.5,136.5
158,Synnex,SNX,Technology,Electronics & Computer Distribution,20053.8,300.6
159,PNC Financial Services,PNC,Financial Services,Banks - Regional,19993,5301
160,Danaher,DHR,Healthcare,Diagnostics & Research,19893,2650.9
161,Hartford Financial Services,HIG,Financial Services,Insurance - Property & Casualty,19827,1807
162,Altria Group,MO,Consumer Defensive,Tobacco,19627,6963
163,Bank of New York Mellon,BK,Financial Services,Asset Management,19214,4266
164,Fluor,FLR,Industrials,Engineering & Construction,19166.6,224.8
165,Avnet,AVT,Technology,Electronics & Computer Distribution,19036.9,-156.4
166,Icahn Enterprises,IEP,Energy,Oil & Gas Refining & Marketing,18979,1507
167,Occidental Petroleum,OXY,Energy,Oil & Gas E&P,18934,4131
168,Molina Healthcare,MOH,Healthcare,Healthcare Plans,18890,707
