Rank,Name,Ticker,Sector,Industry,Revenue,Profit
96,CHS,,Basic Materials,,31934.8,127.9
97,3M,MMM,Industrials,Conglomerates,31657,4858
98,Time Warner,TWX,Communication Services,,31271,5247
99,General Dynamics,GD,Industrials,Aerospace & Defense,30973,2912
100,USAA,UATXX,Financial Services,,30015.8,2421.9
101,Capital One Financial,COF,Financial Services,Credit Services,29999,1982
102,Deere,DE,Industrials,Farm & Heavy Construction Machinery,29737.7,2159.1
103,INTL FCStone,SNEX,Financial Services,Capital Markets,29423.6,6.4
104,Northwestern Mutual,,Financial Services,,29331,1017
105,Enterprise Products Partners,EPD,Energy,Oil & Gas Midstream,29241.5,2799.3
106,Travelers Cos.,TRV,Financial Services,Insurance - Property & Casualty,28902,2056
107,Hewlett Packard Enterprise,HPE,Technology,Communication Equipment,28871,344
108,Philip Morris International,PM,Consumer Defensive,Tobacco,28748,6035
109,Twenty-First Century Fox,FOXA,Communication Services,Entertainment,28500,2952
110,AbbVie,ABBV,Healthcare,Drug Manufacturers - General,28216,5309
111,Abbott Laboratories,ABT,Healthcare,Medical Devices,27390,477
112,Progressive,PGR,Financial Services,Insurance - Property & Casualty,26839,1592.2
113,Arrow Electronics,ARW,Technology,Electronics & Computer Distribution,26812.5,402
114,Kraft Heinz,KHC,Consumer Defensive,Packaged Foods,26232,10999
115,Plains GP Holdings,PAGP,Energy,Oil & Gas Midstream,26223,-731
116,Gilead Sciences,GILD,Healthcare,Drug Manufacturers - General,26107,4628
117,Mondelez International,MDLZ,Consumer Defensive,Confectioners,25896,2922
118,Northrop Grumman,NOC,Industrials,Aerospace & Defense,25803,2015
119,Raytheon,RTN,Industrials,,25348,2024
120,Macy’s,M,Consumer Cyclical,Department Stores,24837,1547
121,US Foods Holding,USFD,Consumer Defensive,Food Distribution,24147.2,444.3
122,U.S. Bancorp,USB,Financial Services,Banks - Regional,23996,6218
123,Dollar General,DG,Consumer Defensive,Discount Stores,23471,1539
124,International Paper,IP,Consumer Cyclical,Packaging & Containers,23302,2144
125,Duke Energy,DUK,Utilities,Utilities - Regulated Electric,23189,3059
126,Southern,SO,Utilities,Utilities - Regulated Electric,23031,842
127,Marriott International,MAR,Consumer Cyclical,Lodging,22894,1372
128,Avnet,AVT,Technology,Electronics & Computer Distribution,22872.1,525.3
129,Eli Lilly,LLY,Healthcare,Drug Manufacturers - General,22871.3,-204.1
130,Amgen,AMGN,Healthcare,Drug Manufacturers - General,22849,1979
131,McDonald’s,MCD,Consumer Cyclical,Restaurants,22820.4,5192.3
132,Starbucks,SBUX,Consumer Cyclical,Restaurants,22386.8,2884.7
133,Qualcomm,QCOM,Technology,Semiconductors,22291,2466
134,Dollar Tree,DLTR,Consumer Defensive,Discount Stores,22245.5,1714.3
135,PBF Energy,PBF,Energy,Oil & Gas Refining & Marketing,21786.6,415.5
136,Icahn Enterprises,IEP,Energy,Oil & Gas Refining & Marketing,21744,2430
137,Aflac,AFL,Financial Services,Insurance - Life,21667,4604
138,AutoNation,AN,Consumer Cyclical,Auto & Truck Dealerships,21534.6,434.6
139,Penske Automotive Group,PAG,Consumer Cyclical,Auto & Truck Dealerships,21389,613.3
140,Whirlpool,WHR,Consumer Cyclical,"Furnishings, Fixtures & Appliances",21253,350
141,Union Pacific,UNP,Industrials,Railroads,21240,10712
142,Southwest Airlines,LUV,Industrials,Airlines,21171,3488
143,ManpowerGroup,MAN,Industrials,Staffing & Employment Services,21034.3,545.4
