Rank,Name,Ticker,Sector,Industry,Revenue,Profit
1,Walmart,WMT,Consumer Defensive,Discount Stores,"$559,151","$13,510.00"
2,Amazon,AMZN,Consumer Cyclical,Internet Retail,"$386,064","$21,331.00"
3,Apple,AAPL,Technology,Consumer Electronics,"$274,515","$57,411.00"
4,CVS Health,CVS,Healthcare,Healthcare Plans,"$268,706","$7,179.00"
5,UnitedHealth Group,UNH,Healthcare,Healthcare Plans,"$257,141","$15,403.00"
6,Berkshire Hathaway,BRKA,,,"$245,510","$42,521.00"
7,McKesson,MCK,Healthcare,Medical Distribution,"$231,051",$900.00
8,AmerisourceBergen,ABC,,,"$189,894","-$3,408.70"
9,Alphabet,GOOGL,Communication Services,Internet Content & Information,"$182,527","$40,269.00"
10,Exxon Mobil,XOM,Energy,Oil & Gas Integrated,"$181,502","-$22,440.00"
11,AT&T,T,Communication Services,Telecom Services,"$171,760","-$5,176.00"
12,Costco Wholesale,COST,Consumer Defensive,Discount Stores,"$166,761","$4,002.00"
13,Cigna,CI,Healthcare,Healthcare Plans,"$160,401","$8,458.00"
14,Cardinal Health,CAH,Healthcare,Medical Distribution,"$152,922","-$3,696.00"
15,Microsoft,MSFT,Technology,Software - Infrastructure,"$143,015","$44,281.00"
16,Walgreens Boots Alliance,WBA,Healthcare,Pharmaceutical Retailers,"$139,537",$456.00
17,Kroger,KR,Consumer Defensive,Grocery Stores,"$132,498","$2,585.00"
18,Home Depot,HD,Consumer Cyclical,Home Improvement Retail,"$132,110","$12,866.00"
19,JPMorgan Chase,JPM,Financial Services,Banks - Diversified,"$129,503","$29,131.00"
20,Verizon Communications,VZ,Communication Services,Telecom Services,"$128,292","$17,801.00"
21,Ford Motor,F,Consumer Cyclical,Auto Manufacturers,"$127,144","-$1,279.00"
22,General Motors,GM,Consumer Cyclical,Auto Manufacturers,"$122,485","$6,427.00"
23,Anthem,ANTM,,,"$121,867","$4,572.00"
24,Centene,CNC,Healthcare,Healthcare Plans,"$111,115","$1,808.00"
25,Fannie Mae,FNMA,Financial Services,Mortgage Finance,"$106,437","$11,805.00"
26,Comcast,CMCSA,Communication Services,Telecom Services,"$103,564","$10,534.00"
27,Chevron,CVX,Energy,Oil & Gas Integrated,"$94,692","-$5,543.00"
28,Dell Technologies,DELL,Technology,Computer Hardware,"$94,224","$3,250.00"
29,Bank of America,BAC,Financial Services,Banks - Diversified,"$93,753","$17,894.00"
30,Target,TGT,Consumer Defensive,Discount Stores,"$93,561","$4,368.00"
31,Lowe's,LOW,Consumer Cyclical,Home Improvement Retail,"$89,597","$5,835.00"
32,Marathon Petroleum,MPC,Energy,Oil & Gas Refining & Marketing,"$88,952","-$9,826.00"
33,Citigroup,C,Financial Services,Banks - Diversified,"$88,839","$11,047.00"
34,Facebook,FB,,,"$85,965","$29,146.00"
35,UPS,UPS,Industrials,Integrated Freight & Logistics,"$84,628","$1,343.00"
36,Johnson & Johnson,JNJ,Healthcare,Drug Manufacturers - General,"$82,584","$14,714.00"
37,Wells Fargo,WFC,Financial Services,Banks - Diversified,"$80,303","$3,301.00"
38,General Electric,GE,Industrials,Specialty Industrial Machinery,"$79,619","$5,704.00"
39,State Farm Insurance,,,,"$78,898","$3,738.90"
40,Intel,INTC,Technology,Semiconductors,"$77,867","$20,899.00"
41,Humana,HUM,Healthcare,Healthcare Plans,"$77,155","$3,367.00"
42,IBM,IBM,Technology,Information Technology Services,"$73,620","$5,590.00"
43,Procter & Gamble,PG,Consumer Defensive,Household & Personal Products,"$70,950","$13,027.00"
44,PepsiCo,PEP,Consumer Defensive,Beverages - Non-Alcoholic,"$70,372","$7,120.00"
45,FedEx,FDX,Industrials,Integrated Freight & Logistics,"$69,217","$1,286.00"
46,MetLife,MET,Financial Services,Insurance - Life,"$67,842","$5,407.00"
47,Freddie Mac,FMCC,Financial Services,Mortgage Finance,"$66,228","$7,326.00"
48,Phillips 66,PSX,Energy,Oil & Gas Refining & Marketing,"$65,494","-$3,975.00"
49,Lockheed Martin,LMT,Industrials,Aerospace & Defense,"$65,398","$6,833.00"
50,Walt Disney,DIS,Communication Services,Entertainment,"$65,388","-$2,864.00"
51,Archer Daniels Midland,ADM,Consumer Defensive,Farm Products,"$64,355","$1,772.00"
52,Albertsons,,,,"$62,455",$466.40
53,Valero Energy,VLO,Energy,Oil & Gas Refining & Marketing,"$60,115","-$1,421.00"
54,Boeing,BA,Industrials,Aerospace & Defense,"$58,158","-$11,873.00"
55,Prudential Financial,PRU,Financial Services,Insurance - Life,"$57,033",-$374.00
56,HP,HPQ,Technology,Computer Hardware,"$56,639","$2,844.00"
57,Raytheon Technologies,RTX,Industrials,Aerospace & Defense,"$56,587","-$3,519.00"
58,StoneX Group,SNEX,Financial Services,Capital Markets,"$54,140",$169.60
59,Goldman Sachs Group,GS,Financial Services,Capital Markets,"$53,498","$9,459.00"
60,Sysco,SYY,Consumer Defensive,Food Distribution,"$52,893",$215.50
61,Morgan Stanley,MS,Financial Services,Capital Markets,"$52,047","$10,996.00"
62,HCA Healthcare,HCA,Healthcare,Medical Care Facilities,"$51,533","$3,754.00"
63,Cisco Systems,CSCO,Technology,Communication Equipment,"$49,301","$11,214.00"
64,Charter Communications,CHTR,Communication Services,Telecom Services,"$48,097","$3,222.00"
65,Merck,MRK,Healthcare,Drug Manufacturers - General,"$47,994","$7,067.00"
66,Best Buy,BBY,Consumer Cyclical,Specialty Retail,"$47,262","$1,798.00"
67,New York Life Insurance,,,,"$46,712",-$822.30
68,AbbVie,ABBV,Healthcare,Drug Manufacturers - General,"$45,804","$4,616.00"
69,Publix Super Markets,,,,"$45,204","$3,971.80"
70,Allstate,ALL,Financial Services,Insurance - Property & Casualty,"$44,791","$5,576.00"
71,Liberty Mutual Insurance Group,,,,"$43,796",$758.00
72,AIG,AIG,Financial Services,Insurance - Diversified,"$43,736","-$5,944.00"
73,Tyson Foods,TSN,Consumer Defensive,Farm Products,"$43,185","$2,061.00"
74,Progressive,PGR,Financial Services,Insurance - Property & Casualty,"$42,658","$5,704.60"
75,Bristol-Myers Squibb,BMY,Healthcare,Drug Manufacturers - General,"$42,518","-$9,015.00"
76,Nationwide,,,,"$41,930",-$138.40
77,Pfizer,PFE,Healthcare,Drug Manufacturers - General,"$41,908","$9,616.00"
78,Caterpillar,CAT,Industrials,Farm & Heavy Construction Machinery,"$41,748","$2,998.00"
79,TIAA,,,,"$41,619",$558.10
80,Oracle,ORCL,Technology,Software - Infrastructure,"$39,068","$10,135.00"
81,Energy Transfer,ET,Energy,Oil & Gas Midstream,"$38,954",-$648.00
82,Dow,DOW,Basic Materials,Chemicals,"$38,542","$1,225.00"
83,American Express,AXP,Financial Services,Credit Services,"$38,185","$3,135.00"
84,General Dynamics,GD,Industrials,Aerospace & Defense,"$37,925","$3,167.00"
85,Nike,NKE,Consumer Cyclical,Footwear & Accessories,"$37,403","$2,539.00"
86,Northrop Grumman,NOC,Industrials,Aerospace & Defense,"$36,799","$3,189.00"
87,USAA,UATXX,,,"$36,296","$3,906.90"
88,Deere,DE,Industrials,Farm & Heavy Construction Machinery,"$35,540","$2,751.00"
89,Abbott Laboratories,ABT,Healthcare,Medical Devices,"$34,608","$4,495.00"
90,Northwestern Mutual,,,,"$33,782",$425.00
91,Dollar General,DG,Consumer Defensive,Discount Stores,"$33,747","$2,655.10"
92,Exelon,EXC,Utilities,Utilities - Regulated Electric,"$33,039","$1,963.00"
93,Coca-Cola,KO,Consumer Defensive,Beverages - Non-Alcoholic,"$33,014","$7,747.00"
94,Honeywell International,HON,Industrials,Conglomerates,"$32,637","$4,779.00"
95,Thermo Fisher Scientific,TMO,Healthcare,Diagnostics & Research,"$32,218","$6,375.00"
96,3M,MMM,Industrials,Conglomerates,"$32,184","$5,384.00"
97,TJX,TJX,Consumer Cyclical,Apparel Retail,"$32,137",$90.50
98,Travelers,TRV,Financial Services,Insurance - Property & Casualty,"$31,981","$2,697.00"
99,Capital One Financial,COF,Financial Services,Credit Services,"$31,643","$2,714.00"
100,Tesla,TSLA,Consumer Cyclical,Auto Manufacturers,"$31,536",$721.00
101,Philip Morris International,PM,Consumer Defensive,Tobacco,"$28,694","$8,056.00"
102,Arrow Electronics,ARW,Technology,Electronics & Computer Distribution,"$28,673",$584.40
103,CHS,,,,"$28,406",$422.40
104,Jabil,JBL,Technology,Electronic Components,"$27,266",$53.90
105,Enterprise Products Partners,EPD,Energy,Oil & Gas Midstream,"$27,200","$3,775.60"
106,Hewlett Packard Enterprise,HPE,Technology,Communication Equipment,"$26,982",-$322.00
107,United Natural Foods,UNFI,Consumer Defensive,Food Distribution,"$26,743",-$274.10
108,Mondelez International,MDLZ,Consumer Defensive,Confectioners,"$26,581","$3,555.00"
109,ViacomCBS,VIAC,,,"$26,186","$2,422.00"
110,Kraft Heinz,KHC,Consumer Defensive,Packaged Foods,"$26,185",$356.00
111,Dollar Tree,DLTR,Consumer Defensive,Discount Stores,"$25,509","$1,341.90"
112,Amgen,AMGN,Healthcare,Drug Manufacturers - General,"$25,424","$7,264.00"
113,U.S. Bancorp,USB,Financial Services,Banks - Regional,"$25,241","$4,959.00"
114,Performance Food Group,PFGC,Consumer Defensive,Food Distribution,"$25,086",-$114.10
115,Netflix,NFLX,Communication Services,Entertainment,"$24,996","$2,761.40"
116,Gilead Sciences,GILD,Healthcare,Drug Manufacturers - General,"$24,689",$123.00
117,Synnex,SNX,Technology,Electronics & Computer Distribution,"$24,676",$529.20
118,Eli Lilly,LLY,Healthcare,Drug Manufacturers - General,"$24,540","$6,193.70"
119,Truist Financial,TFC,Financial Services,Banks - Regional,"$24,427","$4,482.00"
120,PNC Financial Services Group,PNC,Financial Services,Banks - Regional,"$24,039","$7,517.00"
121,Broadcom,AVGO,Technology,Semiconductors,"$23,888","$2,960.00"
122,CBRE Group,CBRE,Real Estate,Real Estate Services,"$23,826",$752.00
123,Massachusetts Mutual Life Insurance,,,,"$23,663",-$100.50
124,Qualcomm,QCOM,Technology,Semiconductors,"$23,531","$5,198.00"
125,Starbucks,SBUX,Consumer Cyclical,Restaurants,"$23,518",$928.30
126,Duke Energy,DUK,Utilities,Utilities - Regulated Electric,"$23,453","$1,377.00"
127,Plains GP Holdings,PAGP,Energy,Oil & Gas Midstream,"$23,290",-$568.00
128,US Foods Holding,USFD,Consumer Defensive,Food Distribution,"$22,885",-$226.00
129,Lennar,LEN,Consumer Cyclical,Residential Construction,"$22,489","$2,465.00"
130,Danaher,DHR,Healthcare,Diagnostics & Research,"$22,284","$3,646.00"
131,Aflac,AFL,Financial Services,Insurance - Life,"$22,147","$4,778.00"
132,Rite Aid,RAD,,,"$21,928",-$452.20
133,Visa,V,Financial Services,Credit Services,"$21,846","$10,866.00"
134,PayPal Holdings,PYPL,Financial Services,Credit Services,"$21,454","$4,202.00"
135,Micron Technology,MU,Technology,Semiconductors,"$21,435","$2,687.00"
136,CarMax,KMX,Consumer Cyclical,Auto & Truck Dealerships,"$21,424",$888.40
137,Salesforce,CRM,Technology,Software - Application,"$21,252","$4,072.00"
138,Altria Group,MO,Consumer Defensive,Tobacco,"$20,841","$4,467.00"
139,Lumen Technologies,LUMN,Communication Services,Telecom Services,"$20,712","-$1,232.00"
140,Baker Hughes,BKR,Energy,Oil & Gas Equipment & Services,"$20,705","-$9,940.00"
141,International Paper,IP,Consumer Cyclical,Packaging & Containers,"$20,580",$482.00
142,Hartford Financial Services Group,HIG,Financial Services,Insurance - Property & Casualty,"$20,523","$1,737.00"
143,Penske Automotive Group,PAG,Consumer Cyclical,Auto & Truck Dealerships,"$20,444",$543.60
144,DuPont,DD,Basic Materials,Specialty Chemicals,"$20,397","-$2,951.00"
145,AutoNation,AN,Consumer Cyclical,Auto & Truck Dealerships,"$20,390",$381.60
146,Southern,SO,Utilities,Utilities - Regulated Electric,"$20,375","$3,119.00"
147,World Fuel Services,INT,,,"$20,358",$109.60
148,D.R. Horton,DHI,Consumer Cyclical,Residential Construction,"$20,311","$2,373.70"
149,Nucor,NUE,Basic Materials,Steel,"$20,140",$721.50
150,Cummins,CMI,Industrials,Specialty Industrial Machinery,"$19,811","$1,789.00"
