Rank,Name,Ticker,Sector,Industry,Revenue,Profit
1,Wal-Mart Stores,WMT,Consumer Defensive,Discount Stores,469162,16999
2,Exxon Mobil,XOM,Energy,Oil & Gas Integrated,449886,44880
3,Chevron,CVX,Energy,Oil & Gas Integrated,233899,26179
4,Phillips 66,PSX,Energy,Oil & Gas Refining & Marketing,169551,4124
5,Berkshire Hathaway,BRKA,Financial Services,,162463,14824
6,Apple,AAPL,Technology,Consumer Electronics,156508,41733
7,General Motors,GM,Consumer Cyclical,Auto Manufacturers,152256,6188
8,General Electric,GE,Industrials,Specialty Industrial Machinery,146874,13641
9,Valero Energy,VLO,Energy,Oil & Gas Refining & Marketing,138286,2083
10,Ford Motor,F,Consumer Cyclical,Auto Manufacturers,134252,5665
11,AT&T,T,Communication Services,Telecom Services,127434,7264
12,Fannie Mae,FNMA,Financial Services,Mortgage Finance,127230,17220
13,CVS Caremark,CVS,Healthcare,Healthcare Plans,123133,3876.9
14,McKesson,MCK,Healthcare,Medical Distribution,122734,1403
15,Hewlett-Packard,HPE,Technology,Communication Equipment,120357,-12650
16,Verizon Communications,VZ,Communication Services,Telecom Services,115846,875
17,UnitedHealth Group,UNH,Healthcare,Healthcare Plans,110618,5526
18,J.P. Morgan Chase & Co.,JPM,Financial Services,Banks - Diversified,108184,21284
19,Cardinal Health,CAH,Healthcare,Medical Distribution,107552,1069
20,International Business Machines,IBM,Technology,Information Technology Services,104507,16604
21,Bank of America Corp.,BAC,Financial Services,Banks - Diversified,100078,4188
22,Costco Wholesale,COST,Consumer Defensive,Discount Stores,99137,1709
23,Kroger,KR,Consumer Defensive,Grocery Stores,96751.3,1496.5
24,Express Scripts Holding,ESRX,Healthcare,,94416.7,1312.9
25,Wells Fargo,WFC,Financial Services,Banks - Diversified,91247,18897
26,Citigroup,C,Financial Services,Banks - Diversified,90769,7541
27,Archer Daniels Midland,ADM,Consumer Defensive,Farm Products,89038,1223
28,Procter & Gamble,PG,Consumer Defensive,Household & Personal Products,85120,10756
29,Prudential Financial,PRU,Financial Services,Insurance - Life,84838,469
30,Boeing,BA,Industrials,Aerospace & Defense,81698,3900
31,Freddie Mac,FMCC,Financial Services,Mortgage Finance,80635,10982
32,AmerisourceBergen,ABC,Healthcare,,79720.5,719
33,Marathon Petroleum,MPC,Energy,Oil & Gas Refining & Marketing,76783,3389
34,Home Depot,HD,Consumer Cyclical,Home Improvement Retail,74754,4535
35,Microsoft,MSFT,Technology,Software - Infrastructure,73723,16978
36,Target,TGT,Consumer Defensive,Discount Stores,73301,2999
37,Walgreen,WBA,Healthcare,Pharmaceutical Retailers,71633,2127
38,American International Group,AIG,Financial Services,Insurance - Diversified,70143,3438
39,INTL FCStone,SNEX,Financial Services,Capital Markets,69260.6,15
40,MetLife,MET,Financial Services,Insurance - Life,68224,1324
41,Johnson & Johnson,JNJ,Healthcare,Drug Manufacturers - General,67224,10853
42,Caterpillar,CAT,Industrials,Farm & Heavy Construction Machinery,65875,5681
43,PepsiCo,PEP,Consumer Defensive,Beverages - Non-Alcoholic,65492,6178
44,State Farm Insurance Cos.,,Financial Services,,65285.7,3159.2
45,ConocoPhillips,COP,Energy,Oil & Gas E&P,63373,8428
46,Comcast,CMCSA,Communication Services,Telecom Services,62570,6203
47,WellPoint,ANTM,Healthcare,,61711.7,2655.5
48,Pfizer,PFE,Healthcare,Drug Manufacturers - General,61244,14570
49,Amazon.com,AMZN,Consumer Cyclical,Internet Retail,61093,-39
50,United Technologies,UTX,Industrials,,59783,5130
51,Dell,DELL,Technology,Computer Hardware,56940,2372
52,Dow Chemical,,Basic Materials,,56786,1182
53,United Parcel Service,UPS,Industrials,Integrated Freight & Logistics,54127,807
54,Intel,INTC,Technology,Semiconductors,53341,11005
55,Google,GOOG,Communication Services,Internet Content & Information,52203,10737
56,Lowe's,LOW,Consumer Cyclical,Home Improvement Retail,50521,1959
57,Coca-Cola,KO,Consumer Defensive,Beverages - Non-Alcoholic,48017,9019
58,Merck,MRK,Healthcare,Drug Manufacturers - General,47267,6168
59,Lockheed Martin,LMT,Industrials,Aerospace & Defense,47182,2745
60,Cisco Systems,CSCO,Technology,Communication Equipment,46061,8041
61,Best Buy,BBY,Consumer Cyclical,Specialty Retail,45087,-441
62,Safeway,,Consumer Defensive,,44206.5,596.5
63,FedEx,FDX,Industrials,Integrated Freight & Logistics,42680,2032
64,Enterprise Products Partners,EPD,Energy,Oil & Gas Midstream,42583.1,2419.9
65,Sysco,SYY,Consumer Defensive,Food Distribution,42380.9,1121.6
66,Walt Disney,DIS,Communication Services,Entertainment,42278,5682
67,Johnson Controls,JCI,Industrials,Building Products & Equipment,41955,1226
68,Goldman Sachs Group,GS,Financial Services,Capital Markets,41664,7475
69,CHS,,Basic Materials,,40599.3,1260.6
70,Abbott Laboratories,ABT,Healthcare,Medical Devices,39873.9,5962.9
71,Sears Holdings,SHLDQ,Consumer Cyclical,,39854,-930
72,DuPont,DD,Basic Materials,Specialty Chemicals,39528,2788
73,Humana,HUM,Healthcare,Healthcare Plans,39126,1222
74,World Fuel Services,INT,Energy,,38945.3,189.3
75,Hess,HES,Energy,Oil & Gas E&P,38373,2025
76,Ingram Micro,,Technology,,37827.3,305.9
77,Plains All American Pipeline,PAA,Energy,Oil & Gas Midstream,37797,1094
78,Honeywell International,HON,Industrials,Conglomerates,37665,2926
79,United Continental Holdings,UAL,Industrials,Airlines,37152,-723
80,Oracle,ORCL,Technology,Software - Infrastructure,37121,9981
81,Liberty Mutual Insurance Group,,Financial Services,,36944,829
82,HCA Holdings,HCA,Healthcare,Medical Care Facilities,36783,1605
83,Delta Air Lines,DAL,Industrials,Airlines,36670,1009
84,Aetna,AET,Healthcare,,36595.9,1657.9
85,Deere,DE,Industrials,Farm & Heavy Construction Machinery,36157.1,3064.7
86,Supervalu,SVU,Consumer Defensive,,36100,-1040
87,Sprint Nextel,,Communication Services,,35345,-4326
88,Mondelēz International,MDLZ,Consumer Defensive,Confectioners,35015,3028
89,New York Life Insurance,,Financial Services,,34308.6,1333.2
90,American Express,AXP,Financial Services,Credit Services,33808,4482
91,News Corp.,NWSA,Communication Services,Entertainment,33706,1179
92,Allstate,ALL,Financial Services,Insurance - Property & Casualty,33315,2306
93,Tyson Foods,TSN,Consumer Defensive,Farm Products,33278,583
94,Massachusetts Mutual Life Insurance,,Financial Services,,32872.2,1114.6
95,Tesoro,TSO,Basic Materials,,32484,743
96,Morgan Stanley,MS,Financial Services,Capital Markets,32355,68
97,TIAA-CREF,TRGIX,Financial Services,,32156,2060
98,General Dynamics,GD,Industrials,Aerospace & Defense,31513,-332
99,Philip Morris International,PM,Consumer Defensive,Tobacco,31377,8800
100,Nationwide,,Financial Services,,30356.3,748.5
101,3M,MMM,Industrials,Conglomerates,29904,4444
102,DirecTV,DTV,Communication Services,,29740,2949
103,Cigna,CI,Healthcare,Healthcare Plans,29119,1623
104,Murphy Oil,MUR,Energy,Oil & Gas E&P,28776.4,970.9
105,Time Warner,TWX,Communication Services,,28729,3019
106,Halliburton,HAL,Energy,Oil & Gas Equipment & Services,28503,2635
107,International Paper,IP,Consumer Cyclical,Packaging & Containers,27833,794
108,Publix Super Markets,,Consumer Defensive,,27706.8,1552.3
109,Macy's,M,Consumer Cyclical,Department Stores,27686,1335
110,Fluor,FLR,Industrials,Engineering & Construction,27577.1,456.3
111,McDonald's,MCD,Consumer Cyclical,Restaurants,27567,5464.8
112,Hartford Financial Services Group,HIG,Financial Services,Insurance - Property & Casualty,26412,-38
113,Rite Aid,RAD,Healthcare,,26121.2,-368.6
114,Northwestern Mutual,,Financial Services,,25957,783
115,TJX,TJX,Consumer Cyclical,Apparel Retail,25878.4,1906.7
116,Travelers Cos.,TRV,Financial Services,Insurance - Property & Casualty,25740,2473
117,Avnet,AVT,Technology,Electronics & Computer Distribution,25707.5,567
118,Aflac,AFL,Financial Services,Insurance - Life,25364,2866
119,Tech Data,TECD,Technology,,25361,214.6
120,Northrop Grumman,NOC,Industrials,Aerospace & Defense,25218,1978
121,AMR,AMR,Basic Materials,Coking Coal,24855,-1876
122,Staples,SPLS,Consumer Defensive,,24671.9,-210.7
123,Emerson Electric,EMR,Industrials,Specialty Industrial Machinery,24507,1968
124,Raytheon,RTN,Industrials,,24414,1888
125,Occidental Petroleum,OXY,Energy,Oil & Gas E&P,24253,4598
126,Nike,NKE,Consumer Cyclical,Footwear & Accessories,24128,2223
127,Capital One Financial,COF,Financial Services,Credit Services,23771,3517
128,Alcoa,AA,Basic Materials,Aluminum,23700,191
129,Exelon,EXC,Utilities,Utilities - Regulated Electric,23489,1160
130,Eli Lilly,LLY,Healthcare,Drug Manufacturers - General,22603.4,4088.6
131,Xerox,XRX,Technology,Information Technology Services,22390,1195
132,U.S. Bancorp,USB,Financial Services,Banks - Regional,22202,5647
133,EMC,EMC,Industrials,,21713.9,2732.6
134,Time Warner Cable,TWX,Communication Services,,21386,2155
135,Baker Hughes,BKR,Energy,Oil & Gas Equipment & Services,21361,1311
136,Kimberly-Clark,KMB,Consumer Defensive,Household & Personal Products,21063,1750
137,Goodyear Tire & Rubber,GT,Consumer Cyclical,Auto Parts,20992,212
138,Union Pacific,UNP,Industrials,Railroads,20926,3943
139,United Services Automobile Assn.,,Financial Services,,20728.6,2832.3
140,ManpowerGroup,MAN,Industrials,Staffing & Employment Services,20678,197.6
141,Arrow Electronics,ARW,Technology,Electronics & Computer Distribution,20405.1,506.3
142,PBF Energy,PBF,Energy,Oil & Gas Refining & Marketing,20138.7,2
143,HollyFrontier,HFC,Energy,,20090.7,1727.2
144,National Oilwell Varco,NOV,Energy,Oil & Gas Equipment & Services,20041,2491
145,Duke Energy,DUK,Utilities,Utilities - Regulated Electric,19624,1768
146,Nucor,NUE,Basic Materials,Steel,19429.3,504.6
147,United States Steel,X,Basic Materials,Steel,19328,-124
148,Kohl's,KSS,Consumer Cyclical,Department Stores,19279,986
149,Qualcomm,QCOM,Technology,Semiconductors,19121,6109
150,CenturyLink,,Communication Services,,18376,777
151,Kraft Foods Group,KHC,Consumer Defensive,Packaged Foods,18339,1642
152,Danaher,DHR,Healthcare,Diagnostics & Research,18270.3,2392.2
153,AES,AES,Utilities,Utilities - Diversified,18207,-912
154,Whirlpool,WHR,Consumer Cyclical,"Furnishings, Fixtures & Appliances",18143,401
155,Illinois Tool Works,ITW,Industrials,Specialty Industrial Machinery,18066,2870
156,Freeport-McMoRan Copper & Gold,FCX,Basic Materials,Copper,18010,3041
157,Global Partners,GLP,Energy,Oil & Gas Midstream,17626,45.5
158,Bristol-Myers Squibb,BMY,Healthcare,Drug Manufacturers - General,17621,1960
159,Altria Group,MO,Consumer Defensive,Tobacco,17500,4180
160,Cummins,CMI,Industrials,Specialty Industrial Machinery,17334,1645
161,Energy Transfer Equity,ET,Energy,Oil & Gas Midstream,17288,302
162,Amgen,AMGN,Healthcare,Drug Manufacturers - General,17265,4345
163,Jabil Circuit,JBL,Technology,Electronic Components,17151.9,394.7
164,Southwest Airlines,LUV,Industrials,Airlines,17088,421
165,Colgate-Palmolive,CL,Consumer Defensive,Household & Personal Products,17085,2472
166,Progressive,PGR,Financial Services,Insurance - Property & Casualty,17083.9,902.3
