Rank,Name,Ticker,Sector,Industry,Revenue,Profit
1,Walmart,WMT,Consumer Defensive,Discount Stores,485651,16363
2,Exxon Mobil,XOM,Energy,Oil & Gas Integrated,382597,32520
3,Chevron,CVX,Energy,Oil & Gas Integrated,203784,19241
4,Berkshire Hathaway,BRKA,Financial Services,,194673,19872
5,Apple,AAPL,Technology,Consumer Electronics,182795,39510
6,General Motors,GM,Consumer Cyclical,Auto Manufacturers,155929,3949
7,Phillips 66,PSX,Energy,Oil & Gas Refining & Marketing,149434,4762
8,General Electric,GE,Industrials,Specialty Industrial Machinery,148321,15233
9,Ford Motor,F,Consumer Cyclical,Auto Manufacturers,144077,3187
10,CVS Health,CVS,Healthcare,Healthcare Plans,139367,4644
11,McKesson,MCK,Healthcare,Medical Distribution,138030,1263
12,AT&T,T,Communication Services,Telecom Services,132447,6224
13,Valero Energy,VLO,Energy,Oil & Gas Refining & Marketing,130844,3630
14,UnitedHealth Group,UNH,Healthcare,Healthcare Plans,130474,5619
15,Verizon,VZ,Communication Services,Telecom Services,127079,9625
16,AmerisourceBergen,ABC,Healthcare,,119569,277
17,Fannie Mae,FNMA,Financial Services,Mortgage Finance,116461,14208
18,Costco,COST,Consumer Defensive,Discount Stores,112640,2058
19,HP,HPQ,Technology,Computer Hardware,111454,5013
20,Kroger,KR,Consumer Defensive,Grocery Stores,108465,1728
21,JP Morgan Chase,JPM,Financial Services,Banks - Diversified,102102,21762
22,Express Scripts Holding,ESRX,Healthcare,,100887,2008
23,Bank of America Corp.,BAC,Financial Services,Banks - Diversified,95181,4833
24,IBM,IBM,Technology,Information Technology Services,94128,12022
25,Marathon Petroleum,MPC,Energy,Oil & Gas Refining & Marketing,91417,2524
26,Cardinal Health,CAH,Healthcare,Medical Distribution,91084,1166
27,Boeing,BA,Industrials,Aerospace & Defense,90762,5446
28,Citigroup,C,Financial Services,Banks - Diversified,90646,7313
29,Amazon.com,AMZN,Consumer Cyclical,Internet Retail,88988,-241
30,Wells Fargo,WFC,Financial Services,Banks - Diversified,88372,23057
31,Microsoft,MSFT,Technology,Software - Infrastructure,86833,22074
32,Procter & Gamble,PG,Consumer Defensive,Household & Personal Products,84537,11643
33,Home Depot,HD,Consumer Cyclical,Home Improvement Retail,83176,6345
34,Archer Daniels Midland,ADM,Consumer Defensive,Farm Products,81201,2248
35,Walgreens,WBA,Healthcare,Pharmaceutical Retailers,76392,1932
36,Target,TGT,Consumer Defensive,Discount Stores,74520,-1636
37,Johnson & Johnson,JNJ,Healthcare,Drug Manufacturers - General,74331,16323
38,Anthem,ANTM,Healthcare,,73874,2570
39,MetLife,MET,Financial Services,Insurance - Life,73316,6309
40,Alphabet,GOOGL,Communication Services,Internet Content & Information,71487,14444
41,State Farm Insurance Cos.,,Financial Services,,71160,4191
42,Freddie Mac,FMCC,Financial Services,Mortgage Finance,69367,7690
43,Comcast,CMCSA,Communication Services,Telecom Services,68775,8380
44,PepsiCo,PEP,Consumer Defensive,Beverages - Non-Alcoholic,66683,6513
45,United Technologies,UTX,Industrials,,65100,6220
46,AIG,AIG,Financial Services,Insurance - Diversified,64406,7529
47,UPS,UPS,Industrials,Integrated Freight & Logistics,58232,3032
48,Dow Chemical,,Basic Materials,,58167,3772
49,Aetna,AET,Healthcare,,58003,2041
50,Lowe’s,LOW,Consumer Cyclical,Home Improvement Retail,56223,2698
51,ConocoPhillips,COP,Energy,Oil & Gas E&P,55997,6869
52,Intel,INTC,Technology,Semiconductors,55870,11704
53,Energy Transfer Equity,ET,Energy,Oil & Gas Midstream,55691,633
54,Caterpillar,CAT,Industrials,Farm & Heavy Construction Machinery,55184,3695
55,Prudential Financial,PRU,Financial Services,Insurance - Life,54123,1381
56,Pfizer,PFE,Healthcare,Drug Manufacturers - General,49605,9135
57,Walt Disney,DIS,Communication Services,Entertainment,48813,7501
58,Humana,HUM,Healthcare,Healthcare Plans,48500,1147
59,Enterprise Products Partners,EPD,Energy,Oil & Gas Midstream,47951,2787
60,Cisco Systems,CSCO,Technology,Communication Equipment,47142,7853
61,Sysco,SYY,Consumer Defensive,Food Distribution,46517,932
62,Ingram Micro,,Technology,,46487,267
63,Coca-Cola,KO,Consumer Defensive,Beverages - Non-Alcoholic,45998,7098
64,Lockheed Martin,LMT,Industrials,Aerospace & Defense,45600,3614
65,FedEx,FDX,Industrials,Integrated Freight & Logistics,45567,2097
66,Johnson Controls,JCI,Industrials,Building Products & Equipment,43855,1215
67,Plains GP Holdings,PAGP,Energy,Oil & Gas Midstream,43464,70
68,World Fuel Services,INT,Energy,,43386,222
69,CHS,,Basic Materials,,42664,1081
70,American Airlines Group,AAL,Industrials,Airlines,42650,2882
71,Merck,MRK,Healthcare,Drug Manufacturers - General,42237,11920
72,Best Buy,BBY,Consumer Cyclical,Specialty Retail,41903,1233
73,Delta Air Lines,DAL,Industrials,Airlines,40362,659
