Rank,Name,Ticker,Sector,Industry,Revenue,Profit
1,Exxon Mobil,XOM,Energy,Oil & Gas Integrated,452926,41060
2,Wal-Mart Stores,WMT,Consumer Defensive,Discount Stores,446950,15699
3,Chevron,CVX,Energy,Oil & Gas Integrated,245621,26895
4,ConocoPhillips,COP,Energy,Oil & Gas E&P,237272,12436
5,General Motors,GM,Consumer Cyclical,Auto Manufacturers,150276,9190
6,General Electric,GE,Industrials,Specialty Industrial Machinery,147616,14151
7,Berkshire Hathaway,BRKA,Financial Services,,143688,10254
8,Fannie Mae,FNMA,Financial Services,Mortgage Finance,137451,-16855
9,Ford Motor,F,Consumer Cyclical,Auto Manufacturers,136264,20213
10,Hewlett-Packard,HPE,Technology,Communication Equipment,127245,7074
11,AT&T,T,Communication Services,Telecom Services,126723,3944
12,Valero Energy,VLO,Energy,Oil & Gas Refining & Marketing,125095,2090
13,Bank of America Corp.,BAC,Financial Services,Banks - Diversified,115074,1446
14,McKesson,MCK,Healthcare,Medical Distribution,112084,1202
15,Verizon Communications,VZ,Communication Services,Telecom Services,110875,2404
16,J.P. Morgan Chase & Co.,JPM,Financial Services,Banks - Diversified,110838,18976
17,Apple,AAPL,Technology,Consumer Electronics,108249,25922
18,CVS Caremark,CVS,Healthcare,Healthcare Plans,107750,3461
19,International Business Machines,IBM,Technology,Information Technology Services,106916,15855
20,Citigroup,C,Financial Services,Banks - Diversified,102939,11067
21,Cardinal Health,CAH,Healthcare,Medical Distribution,102644.2,959
22,UnitedHealth Group,UNH,Healthcare,Healthcare Plans,101862,5142
23,Kroger,KR,Consumer Defensive,Grocery Stores,90374,602
24,Costco Wholesale,COST,Consumer Defensive,Discount Stores,88915,1462
25,Freddie Mac,FMCC,Financial Services,Mortgage Finance,88262,-5266
26,Wells Fargo,WFC,Financial Services,Banks - Diversified,87597,15869
27,Procter & Gamble,PG,Consumer Defensive,Household & Personal Products,82559,11797
28,Archer Daniels Midland,ADM,Consumer Defensive,Farm Products,80676,2036
29,AmerisourceBergen,ABC,Healthcare,,80217.6,706.6
30,INTL FCStone,SNEX,Financial Services,Capital Markets,75497.6,37.3
31,Marathon Petroleum,MPC,Energy,Oil & Gas Refining & Marketing,73645,2389
32,Walgreen,WBA,Healthcare,Pharmaceutical Retailers,72184,2714
33,American International Group,AIG,Financial Services,Insurance - Diversified,71730,17798
34,MetLife,MET,Financial Services,Insurance - Life,70641,6981
35,Home Depot,HD,Consumer Cyclical,Home Improvement Retail,70395,3883
36,Medco Health Solutions,MHS,Healthcare,,70063.3,1455.7
37,Microsoft,MSFT,Technology,Software - Infrastructure,69943,23150
38,Target,TGT,Consumer Defensive,Discount Stores,69865,2929
39,Boeing,BA,Industrials,Aerospace & Defense,68735,4018
40,Pfizer,PFE,Healthcare,Drug Manufacturers - General,67932,10009
41,PepsiCo,PEP,Consumer Defensive,Beverages - Non-Alcoholic,66504,6443
42,Johnson & Johnson,JNJ,Healthcare,Drug Manufacturers - General,65030,9672
43,State Farm Insurance Cos.,,Financial Services,,64305.1,845
44,Dell,DELL,Technology,Computer Hardware,62071,3492
45,WellPoint,ANTM,Healthcare,,60710.7,2646.7
46,Caterpillar,CAT,Industrials,Farm & Heavy Construction Machinery,60138,4928
47,Dow Chemical,,Basic Materials,,59985,2742
48,United Technologies,UTX,Industrials,,58190,4979
49,Comcast,CMCSA,Communication Services,Telecom Services,55842,4160
50,Kraft Foods,KHC,Consumer Defensive,Packaged Foods,54365,3527
51,Intel,INTC,Technology,Semiconductors,53999,12942
52,United Parcel Service,UPS,Industrials,Integrated Freight & Logistics,53105,3804
53,Best Buy,BBY,Consumer Cyclical,Specialty Retail,50272,1277
54,Lowe's,LOW,Consumer Cyclical,Home Improvement Retail,50208,1839
55,Prudential Financial,PRU,Financial Services,Insurance - Life,49045,3666
56,Amazon.com,AMZN,Consumer Cyclical,Internet Retail,48077,631
57,Merck,MRK,Healthcare,Drug Manufacturers - General,48047,6272
58,Lockheed Martin,LMT,Industrials,Aerospace & Defense,46692,2655
59,Coca-Cola,KO,Consumer Defensive,Beverages - Non-Alcoholic,46542,8572
60,Express Scripts Holding,ESRX,Healthcare,,46128.3,1275.8
61,Sunoco,SUN,Energy,Oil & Gas Refining & Marketing,45765,-1684
62,Enterprise Products Partners,EPD,Energy,Oil & Gas Midstream,44313,2046.9
63,Safeway,,Consumer Defensive,,43630.2,516.7
64,Cisco Systems,CSCO,Technology,Communication Equipment,43218,6490
65,Sears Holdings,SHLDQ,Consumer Cyclical,,41567,-3140
66,Walt Disney,DIS,Communication Services,Entertainment,40893,4807
67,Johnson Controls,JCI,Industrials,Building Products & Equipment,40833,1624
68,Morgan Stanley,MS,Financial Services,Capital Markets,39376,4110
69,Sysco,SYY,Consumer Defensive,Food Distribution,39323.5,1152
70,FedEx,FDX,Industrials,Integrated Freight & Logistics,39304,1452
71,Abbott Laboratories,ABT,Healthcare,Medical Devices,38851.3,4728.4
