Rank,Name,Ticker,Sector,Industry,Revenue,Profit
1,Walmart,WMT,Consumer Defensive,Discount Stores,482130,14694
2,Exxon Mobil,XOM,Energy,Oil & Gas Integrated,246204,16150
3,Apple,AAPL,Technology,Consumer Electronics,233715,53394
4,Berkshire Hathaway,BRKA,Financial Services,,210821,24083
5,McKesson,MCK,Healthcare,Medical Distribution,181241,1476
6,UnitedHealth Group,UNH,Healthcare,Healthcare Plans,157107,5813
7,CVS Health,CVS,Healthcare,Healthcare Plans,153290,5237
8,General Motors,GM,Consumer Cyclical,Auto Manufacturers,152356,9687
9,Ford Motor,F,Consumer Cyclical,Auto Manufacturers,149558,7373
10,AT&T,T,Communication Services,Telecom Services,146801,13345
11,General Electric,GE,Industrials,Specialty Industrial Machinery,140389,-6126
12,AmerisourceBergen,ABC,Healthcare,,135962,-135
13,Verizon,VZ,Communication Services,Telecom Services,131620,17879
14,Chevron,CVX,Energy,Oil & Gas Integrated,131118,4587
15,Costco,COST,Consumer Defensive,Discount Stores,116199,2377
16,Fannie Mae,FNMA,Financial Services,Mortgage Finance,110359,10954
17,Kroger,KR,Consumer Defensive,Grocery Stores,109830,2039
18,Amazon.com,AMZN,Consumer Cyclical,Internet Retail,107006,596
19,Walgreens Boots Alliance,WBA,Healthcare,Pharmaceutical Retailers,103444,4220
20,HP,HPQ,Technology,Computer Hardware,103355,4554
21,Cardinal Health,CAH,Healthcare,Medical Distribution,102531,1215
22,Express Scripts Holding,ESRX,Healthcare,,101752,2476
23,J.P. Morgan Chase,JPM,Financial Services,Banks - Diversified,101006,24442
24,Boeing,BA,Industrials,Aerospace & Defense,96114,5176
25,Microsoft,MSFT,Technology,Software - Infrastructure,93580,12193
26,Bank of America Corp.,BAC,Financial Services,Banks - Diversified,93056,15888
27,Wells Fargo,WFC,Financial Services,Banks - Diversified,90033,22894
28,Home Depot,HD,Consumer Cyclical,Home Improvement Retail,88519,7009
29,Citigroup,C,Financial Services,Banks - Diversified,88275,17242
30,Phillips 66,PSX,Energy,Oil & Gas Refining & Marketing,87169,4227
31,IBM,IBM,Technology,Information Technology Services,82461,13190
32,Valero Energy,VLO,Energy,Oil & Gas Refining & Marketing,81824,3990
33,Anthem,ANTM,Healthcare,,79157,2560
34,Procter & Gamble,PG,Consumer Defensive,Household & Personal Products,78756,7036
35,State Farm Insurance Cos.,,Financial Services,,75697,6229
