Rank,Name,Ticker,Sector,Industry,Revenue,Profit
1,Wal-Mart Stores,WMT,Consumer Defensive,Discount Stores,421849,16389
2,Exxon Mobil,XOM,Energy,Oil & Gas Integrated,354674,30460
3,Chevron,CVX,Energy,Oil & Gas Integrated,196337,19024
4,ConocoPhillips,COP,Energy,Oil & Gas E&P,184966,11358
5,Fannie Mae,FNMA,Financial Services,Mortgage Finance,153825,-14014
6,General Electric,GE,Industrials,Specialty Industrial Machinery,151628,11644
7,Berkshire Hathaway,BRKA,Financial Services,,136185,12967
8,General Motors,GM,Consumer Cyclical,Auto Manufacturers,135592,6172
9,Bank of America Corp.,BAC,Financial Services,Banks - Diversified,134194,-2238
10,Ford Motor,F,Consumer Cyclical,Auto Manufacturers,128954,6561
11,Hewlett-Packard,HPE,Technology,Communication Equipment,126033,8761
12,AT&T,T,Communication Services,Telecom Services,124629,19864
13,J.P. Morgan Chase & Co.,JPM,Financial Services,Banks - Diversified,115475,17370
14,Citigroup,C,Financial Services,Banks - Diversified,111055,10602
15,McKesson,MCK,Healthcare,Medical Distribution,108702,1263
16,Verizon Communications,VZ,Communication Services,Telecom Services,106565,2549
17,American International Group,AIG,Financial Services,Insurance - Diversified,104417,7786
18,International Business Machines,IBM,Technology,Information Technology Services,99870,14833
19,Cardinal Health,CAH,Healthcare,Medical Distribution,98601.9,642.2
20,Freddie Mac,FMCC,Financial Services,Mortgage Finance,98368,-14025
21,CVS Caremark,CVS,Healthcare,Healthcare Plans,96413,3427
22,UnitedHealth Group,UNH,Healthcare,Healthcare Plans,94155,4634
23,Wells Fargo,WFC,Financial Services,Banks - Diversified,93249,12362
24,Valero Energy,VLO,Energy,Oil & Gas Refining & Marketing,86034,324
25,Kroger,KR,Consumer Defensive,Grocery Stores,82189.4,1116.3
26,Procter & Gamble,PG,Consumer Defensive,Household & Personal Products,79689,12736
27,AmerisourceBergen,ABC,Healthcare,,77954,636.7
28,Costco Wholesale,COST,Consumer Defensive,Discount Stores,77946,1303
29,Marathon Oil,MRO,Energy,Oil & Gas E&P,68413,2568
30,Home Depot,HD,Consumer Cyclical,Home Improvement Retail,67997,3338
31,Pfizer,PFE,Healthcare,Drug Manufacturers - General,67809,8257
32,Walgreen,WBA,Healthcare,Pharmaceutical Retailers,67420,2091
33,Target,TGT,Consumer Defensive,Discount Stores,67390,2920
34,Medco Health Solutions,MHS,Healthcare,,65968.3,1427.3
35,Apple,AAPL,Technology,Consumer Electronics,65225,14013
36,Boeing,BA,Industrials,Aerospace & Defense,64306,3307
37,State Farm Insurance Cos.,,Financial Services,,63176.7,1762.8
38,Microsoft,MSFT,Technology,Software - Infrastructure,62484,18760
39,Archer Daniels Midland,ADM,Consumer Defensive,Farm Products,61682,1930
40,Johnson & Johnson,JNJ,Healthcare,Drug Manufacturers - General,61587,13334
41,Dell,DELL,Technology,Computer Hardware,61494,2635
42,WellPoint,ANTM,Healthcare,,58801.8,2887.1
43,PepsiCo,PEP,Consumer Defensive,Beverages - Non-Alcoholic,57838,6320
44,United Technologies,UTX,Industrials,,54326,4373
45,Dow Chemical,,Basic Materials,,53674,2310
46,MetLife,MET,Financial Services,Insurance - Life,52717,2790
47,Best Buy,BBY,Consumer Cyclical,Specialty Retail,49694,1317
48,United Parcel Service,UPS,Industrials,Integrated Freight & Logistics,49545,3488
49,Kraft Foods,KHC,Consumer Defensive,Packaged Foods,49542,4114
50,Lowe's,LOW,Consumer Cyclical,Home Improvement Retail,48815,2010
51,INTL FCStone,SNEX,Financial Services,Capital Markets,46940.3,5.4
52,Lockheed Martin,LMT,Industrials,Aerospace & Defense,46890,2926
53,Merck,MRK,Healthcare,Drug Manufacturers - General,45987,861
54,Goldman Sachs Group,GS,Financial Services,Capital Markets,45967,8354
55,Express Scripts,,Healthcare,,44989.7,1181.2
56,Intel,INTC,Technology,Semiconductors,43623,11464
57,Sears Holdings,SHLDQ,Consumer Cyclical,,43326,133
58,Caterpillar,CAT,Industrials,Farm & Heavy Construction Machinery,42588,2700
59,Chrysler Group,,Consumer Cyclical,,41946,-652
60,Safeway,SWY,Consumer Defensive,,41050,589.8
61,Supervalu,SVU,Consumer Defensive,,40597,393
62,Cisco Systems,CSCO,Technology,Communication Equipment,40040,7767
63,Morgan Stanley,MS,Financial Services,Capital Markets,39320,4703
64,Prudential Financial,PRU,Financial Services,Insurance - Life,38414,3195
65,Walt Disney,DIS,Communication Services,Entertainment,38063,3963
66,Comcast,CMCSA,Communication Services,Telecom Services,37937,3635
67,Sysco,SYY,Consumer Defensive,Food Distribution,37243.5,1180
68,Sunoco,SUN,Energy,Oil & Gas Refining & Marketing,35453,234
69,Abbott Laboratories,ABT,Healthcare,Medical Devices,35166.7,4626.2
70,Coca-Cola,KO,Consumer Defensive,Beverages - Non-Alcoholic,35119,11809
71,New York Life Insurance,,Financial Services,,34947.2,1091.5
72,Northrop Grumman,NOC,Industrials,Aerospace & Defense,34757,2053
73,FedEx,FDX,Industrials,Integrated Freight & Logistics,34734,1184
74,Hess,HES,Energy,Oil & Gas E&P,34613,2125
75,Ingram Micro,IM,Technology,,34589,318.1
76,Johnson Controls,JCI,Industrials,Building Products & Equipment,34305,1491
77,Aetna,AET,Healthcare,,34246,1766.8
78,Amazon.com,AMZN,Consumer Cyclical,Internet Retail,34204,1152
79,Humana,HUM,Healthcare,Healthcare Plans,33868.2,1099.4
80,Enterprise Products Partners,EPD,Energy,Oil & Gas Midstream,33739.3,320.8
81,Honeywell International,HON,Industrials,Conglomerates,33370,2022
82,Liberty Mutual Insurance Group,,Financial Services,,33193,1678
83,News Corp.,NWSA,Communication Services,Entertainment,32778,2539
84,DuPont,DD,Basic Materials,Specialty Chemicals,32733,3031
85,Sprint Nextel,,Communication Services,,32563,-3465
86,General Dynamics,GD,Industrials,Aerospace & Defense,32466,2624
87,TIAA-CREF,TRGIX,Financial Services,,32224.9,1405.9
88,Delta Air Lines,DAL,Industrials,Airlines,31755,593
89,Allstate,ALL,Financial Services,Insurance - Property & Casualty,31400,928
90,HCA Holdings,HCA,Healthcare,Medical Care Facilities,30683,1207
91,American Express,AXP,Financial Services,Credit Services,30242,4057
92,Google,GOOG,Communication Services,Internet Content & Information,29321,8505
93,Tyson Foods,TSN,Consumer Defensive,Farm Products,28430,780
94,Philip Morris International,PM,Consumer Defensive,Tobacco,27208,7259
95,Time Warner,TWX,Communication Services,,26888,2578
96,Oracle,ORCL,Technology,Software - Infrastructure,26820,6135
97,3M,MMM,Industrials,Conglomerates,26662,4085
98,Deere,DE,Industrials,Farm & Heavy Construction Machinery,26004.6,1865
99,Plains All American Pipeline,PAA,Energy,Oil & Gas Midstream,25893,505
100,Rite Aid,RAD,Healthcare,,25669.1,-506.7
101,Massachusetts Mutual Life Insurance,,Financial Services,,25647.1,258.2
102,Publix Super Markets,,Consumer Defensive,,25328.1,1338.1
103,CHS,,Basic Materials,,25267.9,502.2
104,Raytheon,RTN,Industrials,,25183,1840
105,International Paper,IP,Consumer Cyclical,Packaging & Containers,25179,644
106,Travelers Cos.,TRV,Financial Services,Insurance - Property & Casualty,25112,3216
107,Macy's,M,Consumer Cyclical,Department Stores,25003,847
108,Staples,SPLS,Consumer Defensive,,24545.1,881.9
109,Tech Data,TECD,Technology,,24376,214.2
110,DirecTV,DTV,Communication Services,,24102,2198
111,McDonald's,MCD,Consumer Cyclical,Restaurants,24074.6,4946.3
112,Northwestern Mutual,,Financial Services,,23384.3,756.3
113,Murphy Oil,MUR,Energy,Oil & Gas E&P,23345.1,798.1
114,United Continental Holdings,UAL,Industrials,Airlines,23229,253
115,Eli Lilly,LLY,Healthcare,Drug Manufacturers - General,23076,5069.5
116,Motorola Solutions,MSI,Technology,Communication Equipment,22823,633
117,Hartford Financial Services,HIG,Financial Services,Insurance - Property & Casualty,22383,1680
118,AMR,AMR,Basic Materials,Coking Coal,22170,-471
119,TJX,TJX,Consumer Cyclical,Apparel Retail,21942.2,1343.1
120,Emerson Electric,EMR,Industrials,Specialty Industrial Machinery,21866,2164
121,Xerox,XRX,Technology,Information Technology Services,21633,606
122,Cigna,CI,Healthcare,Healthcare Plans,21253,1345
123,Alcoa,AA,Basic Materials,Aluminum,21013,254
124,Fluor,FLR,Industrials,Engineering & Construction,20849.3,357.5
125,Aflac,AFL,Financial Services,Insurance - Life,20732,2344
126,U.S. Bancorp,USB,Financial Services,Banks - Regional,20518,3317
127,Nationwide,,Financial Services,,20265,959
128,Tesoro,TSO,Basic Materials,,20253,-29
129,Occidental Petroleum,OXY,Energy,Oil & Gas E&P,19857,4530
130,Kimberly-Clark,KMB,Consumer Defensive,Household & Personal Products,19746,1843
131,Bristol-Myers Squibb,BMY,Healthcare,Drug Manufacturers - General,19484,3102
132,Avnet,AVT,Technology,Electronics & Computer Distribution,19160.2,410.4
133,World Fuel Services,INT,Energy,,19131.1,146.9
134,Capital One Financial,COF,Financial Services,Credit Services,19067,2743
135,Nike,NKE,Consumer Cyclical,Footwear & Accessories,19014,1906.7
136,Freeport-McMoRan Copper & Gold,FCX,Basic Materials,Copper,18982,4336
137,Time Warner Cable,TWX,Communication Services,,18868,1308
138,Manpower,MAN,Industrials,Staffing & Employment Services,18866.5,-263.6
139,Goodyear Tire & Rubber,GT,Consumer Cyclical,Auto Parts,18832,-216
140,Arrow Electronics,ARW,Technology,Electronics & Computer Distribution,18744.7,479.6
141,Exelon,EXC,Utilities,Utilities - Regulated Electric,18644,2563
142,Kohl's,KSS,Consumer Cyclical,Department Stores,18391,1114
143,Whirlpool,WHR,Consumer Cyclical,"Furnishings, Fixtures & Appliances",18366,619
144,Halliburton,HAL,Energy,Oil & Gas Equipment & Services,17973,1835
145,United Services Automobile Assn.,,Financial Services,,17946.1,2637.4
146,J.C. Penney,,Consumer Cyclical,,17759,389
147,Southern,SO,Utilities,Utilities - Regulated Electric,17456,1975
148,United States Steel,X,Basic Materials,Steel,17374,-482
