Rank,Name,Ticker,Sector,Industry,Revenue,Profit
1,Walmart,WMT,Consumer Defensive,Discount Stores,485873,13643
2,Berkshire Hathaway,BRKA,Financial Services,,223604,24074
3,Apple,AAPL,Technology,Consumer Electronics,215639,45687
4,Exxon Mobil,XOM,Energy,Oil & Gas Integrated,205004,7840
5,McKesson,MCK,Healthcare,Medical Distribution,192487,2258
6,UnitedHealth Group,UNH,Healthcare,Healthcare Plans,184840,7017
7,CVS Health,CVS,Healthcare,Healthcare Plans,177526,5317
8,General Motors,GM,Consumer Cyclical,Auto Manufacturers,166380,9427
9,AT&T,T,Communication Services,Telecom Services,163786,12976
10,Ford Motor,F,Consumer Cyclical,Auto Manufacturers,151800,4596
11,AmerisourceBergen,ABC,Healthcare,,146850,1427.9
12,Amazon.com,AMZN,Consumer Cyclical,Internet Retail,135987,2371
13,General Electric,GE,Industrials,Specialty Industrial Machinery,126661,8831
14,Verizon Communications,VZ,Communication Services,Telecom Services,125980,13127
15,Cardinal Health,CAH,Healthcare,Medical Distribution,121546,1427
16,Costco,COST,Consumer Defensive,Discount Stores,118719,2350
17,Walgreens Boots Alliance,WBA,Healthcare,Pharmaceutical Retailers,117351,4173
18,Kroger,KR,Consumer Defensive,Grocery Stores,115337,1975
19,Chevron,CVX,Energy,Oil & Gas Integrated,107567,-497
20,Fannie Mae,FNMA,Financial Services,Mortgage Finance,107162,12313
21,J.P. Morgan Chase,JPM,Financial Services,Banks - Diversified,105486,24733
22,Express Scripts Holding,ESRX,Healthcare,,100288,3404.4
23,Home Depot,HD,Consumer Cyclical,Home Improvement Retail,94595,7957
24,Boeing,BA,Industrials,Aerospace & Defense,94571,4895
25,Wells Fargo,WFC,Financial Services,Banks - Diversified,94176,21938
26,Bank of America Corp.,BAC,Financial Services,Banks - Diversified,93662,17906
27,Alphabet,GOOGL,Communication Services,Internet Content & Information,90272,19478
28,Microsoft,MSFT,Technology,Software - Infrastructure,85320,16798
29,Anthem,ANTM,Healthcare,,84863,2469.8
30,Citigroup,C,Financial Services,Banks - Diversified,82386,14912
31,Comcast,CMCSA,Communication Services,Telecom Services,80403,8695
32,IBM,IBM,Technology,Information Technology Services,79919,11872
33,State Farm Insurance Cos.,,Financial Services,,76132,350.3
34,Phillips 66,PSX,Energy,Oil & Gas Refining & Marketing,72396,1555
35,Johnson & Johnson,JNJ,Healthcare,Drug Manufacturers - General,71890,16540
36,Procter & Gamble,PG,Consumer Defensive,Household & Personal Products,71726,10508
37,Valero Energy,VLO,Energy,Oil & Gas Refining & Marketing,70166,2289
38,Target,TGT,Consumer Defensive,Discount Stores,69495,2737
39,Freddie Mac,FMCC,Financial Services,Mortgage Finance,65665,7815
40,Lowe’s,LOW,Consumer Cyclical,Home Improvement Retail,65017,3093
41,Dell Technologies,DELL,Technology,Computer Hardware,64806,-1672
42,MetLife,MET,Financial Services,Insurance - Life,63476,800
43,Aetna,AET,Healthcare,,63155,2271
44,PepsiCo,PEP,Consumer Defensive,Beverages - Non-Alcoholic,62799,6329
45,Archer Daniels Midland,ADM,Consumer Defensive,Farm Products,62346,1279
46,UPS,UPS,Industrials,Integrated Freight & Logistics,60906,3431
47,Intel,INTC,Technology,Semiconductors,59387,10316
48,Prudential Financial,PRU,Financial Services,Insurance - Life,58779,4368
49,Albertsons Cos.,ACI,Consumer Defensive,Grocery Stores,58734,-502.2
50,United Technologies,UTX,Industrials,,57244,5055
51,Marathon Petroleum,MPC,Energy,Oil & Gas Refining & Marketing,55858,1174
52,Disney,DIS,Communication Services,Entertainment,55632,9391
53,Humana,HUM,Healthcare,Healthcare Plans,54379,614
54,Pfizer,PFE,Healthcare,Drug Manufacturers - General,52824,7215
55,AIG,AIG,Financial Services,Insurance - Diversified,52367,-849
56,Lockheed Martin,LMT,Industrials,Aerospace & Defense,50658,5302
57,Sysco,SYY,Consumer Defensive,Food Distribution,50367,949.6
58,FedEx,FDX,Industrials,Integrated Freight & Logistics,50365,1820
59,Hewlett Packard Enterprise,HPE,Technology,Communication Equipment,50123,3161
60,Cisco Systems,CSCO,Technology,Communication Equipment,49247,10739
61,HP,HPQ,Technology,Computer Hardware,48238,2496
62,Dow Chemical,,Basic Materials,,48158,4318
63,HCA Holdings,HCA,Healthcare,Medical Care Facilities,44747,2890
64,Coca-Cola,KO,Consumer Defensive,Beverages - Non-Alcoholic,41863,6527
65,New York Life Insurance,,Financial Services,,40787,1088.1
66,Centene,CNC,Healthcare,Healthcare Plans,40721,562
67,American Airlines Group,AAL,Industrials,Airlines,40180,2676
68,Nationwide,,Financial Services,,40074,334.3
69,Merck,MRK,Healthcare,Drug Manufacturers - General,39807,3920
70,Cigna,CI,Healthcare,Healthcare Plans,39668,1867
71,Delta Air Lines,DAL,Industrials,Airlines,39639,4373
72,Best Buy,BBY,Consumer Cyclical,Specialty Retail,39403,1228
73,Honeywell International,HON,Industrials,Conglomerates,39302,4809
74,Caterpillar,CAT,Industrials,Farm & Heavy Construction Machinery,38537,-67
75,Liberty Mutual Insurance Group,,Financial Services,,38308,1006
76,Morgan Stanley,MS,Financial Services,Capital Markets,37949,5979
77,Massachusetts Mutual Life Insurance,,Financial Services,,37788,1273.5
78,Goldman Sachs Group,GS,Financial Services,Capital Markets,37712,7398
79,Energy Transfer Equity,ET,Energy,Oil & Gas Midstream,37504,995
80,TIAA,,Financial Services,,37105,1492.3
81,Oracle,ORCL,Technology,Software - Infrastructure,37047,8901
82,Tyson Foods,TSN,Consumer Defensive,Farm Products,36881,1768
83,United Continental Holdings,UAL,Industrials,Airlines,36556,2263
84,Allstate,ALL,Financial Services,Insurance - Property & Casualty,36534,1877
85,Publix Super Markets,,Consumer Defensive,,34274,2025.7
86,American Express,AXP,Financial Services,Credit Services,33823,5408
87,TJX,TJX,Consumer Cyclical,Apparel Retail,33184,2298.2
88,Nike,NKE,Consumer Cyclical,Footwear & Accessories,32376,3760
89,Exelon,EXC,Utilities,Utilities - Regulated Electric,31360,1134
90,General Dynamics,GD,Industrials,Aerospace & Defense,31353,2955
91,Rite Aid,RAD,Healthcare,,30737,165.5
92,Gilead Sciences,GILD,Healthcare,Drug Manufacturers - General,30390,13501
93,CHS,,Basic Materials,,30347,424.2
94,3M,MMM,Industrials,Conglomerates,30109,5050
95,Time Warner,TWX,Communication Services,,29318,3926
96,Charter Communications,CHTR,Communication Services,Telecom Services,29003,3522
97,Northwestern Mutual,,Financial Services,,28799,818
98,Facebook,FB,Communication Services,,27638,10217
99,Travelers Cos.,TRV,Financial Services,Insurance - Property & Casualty,27625,3014
100,Capital One Financial,COF,Financial Services,Credit Services,27519,3751
101,Twenty-First Century Fox,FOXA,Communication Services,Entertainment,27326,2755
102,USAA,UATXX,Financial Services,,27131,1779.1
103,World Fuel Services,INT,Energy,,27016,126.5
104,Philip Morris International,PM,Consumer Defensive,Tobacco,26685,6967
105,Deere,DE,Industrials,Farm & Heavy Construction Machinery,26644,1523.9
106,Kraft Heinz,KHC,Consumer Defensive,Packaged Foods,26487,3632
107,Tech Data,TECD,Technology,,26235,195.1
108,Avnet,AVT,Technology,Electronics & Computer Distribution,26219,506.5
109,Mondelez International,MDLZ,Consumer Defensive,Confectioners,25923,1659
110,Macy’s,M,Consumer Cyclical,Department Stores,25778,619
