Rank,Name,Ticker,Sector,Industry,Revenue,Profit
1,Walmart,WMT,Consumer Defensive,Discount Stores,"$572,754","$13,673"
2,Amazon.com,AMZN,Consumer Cyclical,Internet Retail,"$469,822","$33,364"
3,Apple,AAPL,Technology,Consumer Electronics,"$365,817","$94,680"
4,CVS Health,CVS,Healthcare,Healthcare Plans,"$292,111","$7,910"
5,UnitedHealth Group,UNH,Healthcare,Healthcare Plans,"$287,597","$17,285"
6,Exxon Mobil,XOM,Energy,Oil & Gas Integrated,"$285,640","$23,040"
7,Berkshire Hathaway,BRKA,,,"$276,094","$89,795"
8,Alphabet,GOOGL,Communication Services,Internet Content & Information,"$257,637","$76,033"
9,McKesson,MCK,Healthcare,Medical Distribution,"$238,228","-$4,539"
10,AmerisourceBergen,ABC,,,"$213,989","$1,540"
11,Costco Wholesale,COST,Consumer Defensive,Discount Stores,"$195,929","$5,007"
12,Cigna,CI,Healthcare,Healthcare Plans,"$174,078","$5,365"
13,AT&T,T,Communication Services,Telecom Services,"$168,864","$20,081"
14,Microsoft,MSFT,Technology,Software - Infrastructure,"$168,088","$61,271"
15,Cardinal Health,CAH,Healthcare,Medical Distribution,"$162,467",$611
16,Chevron,CVX,Energy,Oil & Gas Integrated,"$162,465","$15,625"
17,Home Depot,HD,Consumer Cyclical,Home Improvement Retail,"$151,157","$16,433"
18,Walgreens Boots Alliance,WBA,Healthcare,Pharmaceutical Retailers,"$148,579","$2,542"
19,Marathon Petroleum,MPC,Energy,Oil & Gas Refining & Marketing,"$141,032","$9,738"
20,Anthem,ANTM,,,"$138,639","$6,104"
21,Kroger,KR,Consumer Defensive,Grocery Stores,"$137,888","$1,655"
22,Ford Motor,F,Consumer Cyclical,Auto Manufacturers,"$136,341","$17,937"
23,Verizon Communications,VZ,Communication Services,Telecom Services,"$133,613","$22,065"
24,JPMorgan Chase,JPM,Financial Services,Banks - Diversified,"$127,202","$48,334"
25,General Motors,GM,Consumer Cyclical,Auto Manufacturers,"$127,004","$10,019"
26,Centene,CNC,Healthcare,Healthcare Plans,"$125,982","$1,347"
27,Meta Platforms,META,Communication Services,Internet Content & Information,"$117,929","$39,370"
28,Comcast,CMCSA,Communication Services,Telecom Services,"$116,385","$14,159"
29,Phillips 66,PSX,Energy,Oil & Gas Refining & Marketing,"$114,852","$1,317"
30,Valero Energy,VLO,Energy,Oil & Gas Refining & Marketing,"$108,332",$930
31,Dell Technologies,DELL,Technology,Computer Hardware,"$106,995","$5,563"
32,Target,TGT,Consumer Defensive,Discount Stores,"$106,005","$6,946"
33,Fannie Mae,FNMA,Financial Services,Mortgage Finance,"$101,543","$22,176"
34,United Parcel Service,UPS,Industrials,Integrated Freight & Logistics,"$97,287","$12,890"
35,Lowe's,LOW,Consumer Cyclical,Home Improvement Retail,"$96,250","$8,442"
36,Bank of America,BAC,Financial Services,Banks - Diversified,"$93,851","$31,978"
37,Johnson & Johnson,JNJ,Healthcare,Drug Manufacturers - General,"$93,775","$20,878"
38,Archer Daniels Midland,ADM,Consumer Defensive,Farm Products,"$85,249","$2,709"
39,FedEx,FDX,Industrials,Integrated Freight & Logistics,"$83,959","$5,231"
40,Humana,HUM,Healthcare,Healthcare Plans,"$83,064","$2,933"
41,Wells Fargo,WFC,Financial Services,Banks - Diversified,"$82,407","$21,548"
42,State Farm Insurance,,,,"$82,225","$1,281"
43,Pfizer,PFE,Healthcare,Drug Manufacturers - General,"$81,288","$21,979"
44,Citigroup,C,Financial Services,Banks - Diversified,"$79,865","$21,952"
45,PepsiCo,PEP,Consumer Defensive,Beverages - Non-Alcoholic,"$79,474","$7,618"
46,Intel,INTC,Technology,Semiconductors,"$79,024","$19,868"
47,Procter & Gamble,PG,Consumer Defensive,Household & Personal Products,"$76,118","$14,306"
48,General Electric,GE,Industrials,Specialty Industrial Machinery,"$74,196","-$6,520"
49,International Business Machines,IBM,Technology,Information Technology Services,"$72,344","$5,743"
50,MetLife,MET,Financial Services,Insurance - Life,"$71,080","$6,554"
51,Prudential Financial,PRU,Financial Services,Insurance - Life,"$70,934","$7,724"
52,Albertsons,,,,"$69,690",$850
53,Walt Disney,DIS,Communication Services,Entertainment,"$67,418","$1,995"
54,Energy Transfer,ET,Energy,Oil & Gas Midstream,"$67,417","$5,470"
55,Lockheed Martin,LMT,Industrials,Aerospace & Defense,"$67,044","$6,315"
56,Freddie Mac,FMCC,Financial Services,Mortgage Finance,"$65,898","$12,109"
57,Goldman Sachs Group,GS,Financial Services,Capital Markets,"$64,989","$21,635"
58,Raytheon Technologies,RTX,Industrials,Aerospace & Defense,"$64,388","$3,864"
