Rank,Name,Ticker,Sector,Industry,Revenue,Profit,m1-o,m1-c,m2-o,m2-c,m3-o,m3-c,m4-o,m4-c,m5-o,m5-c,m6-o,m6-c,m7-o,m7-c,m8-o,m8-c,m9-o,m9-c,m10-o,m10-c,m11-o,m11-c,m12-o,m12-c,ur-1,ur-2,ur-3,ur-4,ur-5,ur-6,ur-7,ur-8,ur-9,ur-10,ur-11,ur-12,gdp-1,gdp-2,gdp-3,gdp-4,gdp-5,gdp-6,gdp-7,gdp-8,gdp-9,gdp-10,gdp-11,gdp-12
462,ABM Industries,ABM,Industrials,Specialty Business Services,"$5,988 ",$0.30 ,37.98,36.74,37.05,43.18,44.06,51.01,51.07,51.41,52.11,49.89,50.29,44.35,44.91,46.49,46.67,49.52,49.72,45.01,45.44,44.01,44.15,45,46.15,40.85,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
463,Ingredion,INGR,Consumer Defensive,Packaged Foods,"$5,987 ",$348.00 ,79.17,75.47,75.8,90.2,91.3,89.92,90.22,93.41,93.65,94.93,95.47,90.5,90.79,87.81,88.26,87.86,87.92,89.01,88.88,95.23,95.23,93.13,94.53,96.64,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
464,Chipotle Mexican Grill,CMG,Consumer Cyclical,Restaurants,"$5,985 ",$355.80 ,1386.68,1480,1495.1,1442,1444.83,1420.82,1438.15,1492.03,1500,1371.98,1372,1550.34,1543.9,1863.44,1876.91,1903.33,1908,1817.52,1836.58,1779.03,1784.54,1643.41,1656,1748.25,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
465,Sinclair Broadcast Group,SBGI,Communication Services,Entertainment,"$5,943 ","($2,414.00)",32.27,31.51,31.52,30.93,31.25,29.26,29.27,32.47,32.54,33.69,33.82,33.22,33.33,28.29,28.5,30.01,30.08,31.68,31.85,26.13,26.33,23.33,23.83,26.43,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
466,LPL Financial Holdings,LPLA,Financial Services,Capital Markets,"$5,872 ",$472.60 ,104.48,108.34,109.72,131.54,135,142.16,142.03,156.7,155.63,147.88,149.47,134.98,136.58,141.04,142.46,147.85,147.84,156.76,156.4,164.02,166.49,157.61,162.18,160.09,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
467,Crown Castle International,CCI,Real Estate,REIT - Specialty,"$5,840 ","$1,056.00 ",158.35,159.26,160,155.75,156.34,172.13,173.01,189.06,189.08,189.5,190.72,195.1,194.86,193.09,193.81,194.69,194.87,173.32,173.83,180.3,181.03,181.65,182,208.74,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
468,KLA,KLAC,Technology,Semiconductor Equipment & Materials,"$5,806 ","$1,216.80 ",262.06,280.07,286.02,311.23,316.0155,330.4,337,315.35,317.62,316.89,319.89,324.21,324.15,348.16,348.16,339.96,340.95,334.51,336.715,372.76,373,408.13,415.25,430.11,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
469,Ameren,AEE,Utilities,Utilities - Regulated Electric,"$5,794 ",$871.00 ,77.64,72.72,72.95,70.27,70.94,81.36,80.57,84.84,84.94,84.2,84.55,80.04,80.05,83.92,84.13,87.72,87.94,81,81.5,84.29,84.44,81.59,81.99,89.01,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
470,KBR,KBR,Industrials,Engineering & Construction,"$5,767 ",($72.00),31.11,29.05,29.27,31,31.69,38.39,38.4,39.56,40.04,40.74,41.28,38.15,38.49,38.7,38.8,38.94,39.05,39.4,39.8,42.44,42.65,44,44.95,47.62,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
471,Burlington Stores,BURL,Consumer Cyclical,Apparel Retail,"$5,764 ",($216.50),262.25,248.9,251.59,258.82,264.35,298.8,299.75,326.33,327.76,323.37,325.26,321.99,322.82,334.8,336.82,299.49,300.45,283.57,284.28,276.29,276.48,293.13,295.92,291.51,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
472,Olin,OLN,Basic Materials,Specialty Chemicals,"$5,758 ",($969.90),24.84,23.91,25.09,30.94,31.62,37.97,38.66,43.03,43.85,48.89,49.77,46.26,47,47.03,47.36,49.84,49.96,48.25,48.55,56.98,57.53,54.35,55.4,57.52,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
473,CACI International,CACI,Technology,Information Technology Services,"$5,720 ",$321.50 ,249.33,241.22,242.81,221.34,223.98,246.66,248,254.86,256.71,254.96,256.37,255.12,255.34,266.96,267.82,257.54,257.44,262.1,262.41,287.64,289.85,259.43,262.37,269.21,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
474,Post Holdings,POST,Consumer Defensive,Packaged Foods,"$5,699 ",$0.80 ,100.56,94.85,95.43,96.06,96.93,105.72,105.56,113.78,114.38,115.53,115.54,108.47,108.86,102.34,102.49,111.91,112.33,110.16,110.86,101.48,101.35,96.6,97.63,112.73,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
475,Academy Sports and Outdoors,ASO,Consumer Cyclical,Specialty Retail,"$5,689 ",$308.80 ,20.61,21.5,21.93,23.96,24.12,26.99,27.08,30.81,30.91,36.53,37,41.24,41.87,37.05,37.15,44.27,44.16,40.02,40.05,42.78,43.16,44.62,45.78,43.9,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
476,Arconic,ARNC,,,"$5,675 ",($109.00),,,,,,,,,,,,,,,,,,,,,,,,,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
477,Celanese,CE,Basic Materials,Chemicals,"$5,655 ","$1,985.00 ",130.86,122.15,123.64,138.91,141.55,149.81,150.12,156.65,158.5,165.45,168.24,151.6,154.7,155.77,156.28,158.6,158.77,150.64,151.52,161.51,161.81,151.36,154.67,168.06,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
478,Yum Brands,YUM,Consumer Cyclical,Restaurants,"$5,652 ",$904.00 ,109.02,101.49,102.24,103.53,104.01,108.18,108.67,119.52,120,119.97,121,115.03,115.49,131.39,132.09,131.03,131.42,122.31,123.3,124.94,125.54,122.84,124.37,138.86,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
479,Fastenal,FAST,Industrials,Industrial Distribution,"$5,647 ",$859.10 ,49.03,45.59,46.22,46.37,46.4416,50.28,50.37,52.28,52.5,53.04,53.3446,52,52.26,54.77,55,55.85,55.87,51.61,51.8,57.08,57.19,59.17,59.8203,64.06,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
480,Nasdaq,NDAQ,Financial Services,Financial Data & Stock Exchanges,"$5,627 ",$933.00 ,44.5767,45.09,45.51,46.0967,46.56,49.1533,49.39,53.8467,54.0267,55.82,56.0667,58.6,59.2967,62.2433,62.7667,65.26,65.5267,64.34,64.7067,69.9567,70.3433,67.7433,68.5933,70.0033,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
481,Analog Devices,ADI,Technology,Semiconductors,"$5,603 ","$1,220.80 ",148.45,147.33,148.34,155.82,157.08,155.08,157.38,153.16,154,164.6,163.76,172.16,172.03,167.42,168.64,162.95,163.77,167.48,167.83,173.49,173.18,180.25,182.28,175.77,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
482,McCormick,MKC,Consumer Defensive,Packaged Foods,"$5,601 ",$747.40 ,95.78,89.54,89.26,84.28,84.79,89.16,89.09,90.36,90.26,89.06,89.42,88.32,87.49,84.17,84.21,86.29,86.51,81.03,80.8,80.23,80.03,85.82,86.17,96.61,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
483,Carvana,CVNA,Consumer Cyclical,Auto & Truck Dealerships,"$5,587 ",($171.10),243.62,261.19,265.33,283.5,289.12,262.4,266.19,285.26,297.43,265.09,267.26,301.82,300,337.56,338,328.06,328.84,301.54,305.14,303.18,302.82,280.42,282.01,231.79,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
484,Franklin Resources,BEN,Financial Services,Asset Management,"$5,567 ",$798.90 ,25,26.29,26.42,26.17,26.71,29.6,29.81,30,30.29,34.21,34.68,31.99,32.17,29.55,29.88,32.44,32.56,29.72,29.82,31.49,33.53,32.4,33.29,33.49,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
485,Electronic Arts,EA,Communication Services,Electronic Gaming & Multimedia,"$5,537 ","$3,039.00 ",143.44,143.2,143.79,133.97,134.84,135.37,136.73,142.08,142.71,142.93,142.17,143.83,143.46,143.96,144.995,145.21,145.34,142.25,141.9,140.25,140.91,124.22,125.1,131.9,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
486,MDU Resources Group,MDU,Industrials,Conglomerates,"$5,533 ",$390.20 ,26.4,26.29,26.45,28.1,28.52,31.61,31.63,33.46,33.75,33.66,33.89,31.34,31.52,31.72,31.72,32.17,32.27,29.67,29.73,30.73,30.84,27.23,27.71,30.84,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
487,Select Medical Holdings,SEM,Healthcare,Medical Care Facilities,"$5,532 ",$259.00 ,27.93,25.7,25.95,31.65,32.5,34.1,34.18,37.72,38.08,40.07,40.09,42.26,42.48,39.45,39.42,34.57,34.91,36.17,36.27,33.22,33.25,26.85,27.58,29.4,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
488,Roper Technologies,ROP,Technology,Software - Application,"$5,527 ",$949.70 ,429.92,392.91,395.86,377.62,379.73,403.34,405.33,446.44,447.08,450.01,454.3,470.2,470.43,491.34,494.19,483.28,483.64,446.13,448.81,487.87,489.21,464.15,468.37,491.86,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
489,RPM International,RPM,Basic Materials,Specialty Chemicals,"$5,507 ",$304.40 ,91.25,82.47,83.15,79.64,80.34,91.85,92.2,94.84,95.76,93.53,94.26,88.68,88.96,86.59,86.68,82.29,82.29,77.65,78.07,87.2,87.19,91.04,92.1,101,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
490,Cerner,CERN,,,"$5,506 ",$780.10 ,,,,,,,,,,,,,,,,,,,,,,,,,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
491,Patterson,PDCO,Healthcare,Medical Distribution,"$5,490 ",($588.40),30.485,31.68,31.065,31.06,32.07,31.95,31.9,32.14,32.45,32.54,32.6,30.39,30.61,31.13,31.26,30.64,30.61,30.14,30.45,31.26,31.27,31.47,33.99,29.35,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
492,Commercial Metals,CMC,Basic Materials,Steel,"$5,477 ",$279.50 ,20.91,19.69,20.02,25.15,26.06,30.84,30.52,29.22,29.71,31.47,32.18,30.72,31.24,32.8,33.03,32.62,32.33,30.46,30.46,32.18,32.53,30.9,31.94,36.29,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
493,Boise Cascade,BCC,Basic Materials,Building Materials,"$5,475 ",$175.00 ,48.72,47.63,48.33,49.94,51.36,59.83,60.41,66.72,67.82,65.99,66.99,58.35,59.06,51.15,51.29,57.85,58.03,53.98,54.12,56.62,56.65,64.83,66.67,71.2,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
494,Hasbro,HAS,Consumer Cyclical,Leisure,"$5,465 ",$222.50 ,93.74,93.82,93.75,93.71,94.14,96.12,96.25,99.45,99.71,95.97,96.5,94.52,94.9,99.44,100.07,98.31,98.54,89.22,89.28,95.76,95.88,96.91,97.57,101.78,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
495,A-Mark Precious Metals,AMRK,Financial Services,Capital Markets,"$5,461 ",$30.50 ,12.925,14.29,15.25,14.22,14.255,18,17.915,18.635,18.75,26.66,27.185,23.25,23.265,25.47,25.93,24.255,24.395,30.01,30.25,37.495,38.3875,34.625,35.485,30.55,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
496,Camping World Holdings,CWH,Consumer Cyclical,Auto & Truck Dealerships,"$5,447 ",$122.30 ,26.59,34.16,34.4,31.3,32.43,36.38,36.87,43.54,44.25,44.39,44.7,40.99,41.5,39.36,39.46,39.94,39.92,38.87,39.45,37.25,37.39,43.86,44.52,40.4,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
497,NetApp,NTAP,Technology,Computer Hardware,"$5,412 ",$819.00 ,66.47,66.44,66.835,62.6,63,72.67,73.73,74.69,74.8857,77.37,77.07,81.82,82.24,79.59,80,88.93,88.62,89.76,90.1,89.3,89.32,88.88,89.5,91.99,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
498,Avis Budget Group,CAR,Industrials,Rental & Leasing Services,"$5,402 ",($684.00),37.71,41.34,41.83,55.55,58.67,72.54,72.96,89.61,89.79,87.82,88.35,77.89,78.86,82.77,83.63,90.75,91.56,116.51,118.47,173.31,174.99,274.59,283.74,207.37,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
499,R.R. Donnelley & Sons,RRD,,,"$5,399 ",$98.50 ,,,,,,,,,,,,,,,,,,,,,,,,,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
500,Moody's,MCO,Financial Services,Financial Data & Stock Exchanges,"$5,371 ","$1,778.00 ",293.5,266.26,270.19,274.89,277.33,298.61,303.9,326.71,327.53,335.35,338.06,362.37,362.5,376,378.57,380.77,380.31,355.11,357.5,404.15,406.82,390.64,394.62,390.58,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
