Rank,Name,Ticker,Sector,Industry,Revenue,Profit,m1-o,m1-c,m2-o,m2-c,m3-o,m3-c,m4-o,m4-c,m5-o,m5-c,m6-o,m6-c,m7-o,m7-c,m8-o,m8-c,m9-o,m9-c,m10-o,m10-c,m11-o,m11-c,m12-o,m12-c,ur-1,ur-2,ur-3,ur-4,ur-5,ur-6,ur-7,ur-8,ur-9,ur-10,ur-11,ur-12,gdp-1,gdp-2,gdp-3,gdp-4,gdp-5,gdp-6,gdp-7,gdp-8,gdp-9,gdp-10,gdp-11,gdp-12
1,Walmart,WMT,Consumer Defensive,Discount Stores,"523,964.00","14,881.00",39.62,38.1633,38.3,35.8933,35.8667,37.8733,37.3833,40.5167,40.4933,41.3533,41.1467,39.9267,39.8167,43.1333,43.3033,46.2833,47.0667,46.6367,46.9333,46.25,46.8633,50.93,51.2,48.05,3.6,3.5,4.4,14.8,13.2,11,10.2,8.4,7.8,6.8,6.7,6.7,20960.199,21057.417,19979.944,18153.206,18961.995,19991.603,20314.556,20493.66,20730.599,20812.84,20626.048,20737.201
2,Amazon.com,AMZN,Consumer Cyclical,Internet Retail,"280,522.00","11,588.00",93.75,100.436,100.53,94.1875,95.3245,97.486,96.6485,123.7,116.84,122.1185,122.4,137.941,137.8995,158.234,159.0255,172.548,174.479,157.4365,160.4,151.8075,153.087,158.402,159.425,162.8465,3.6,3.5,4.4,14.8,13.2,11,10.2,8.4,7.8,6.8,6.7,6.7,20960.199,21057.417,19979.944,18153.206,18961.995,19991.603,20314.556,20493.66,20730.599,20812.84,20626.048,20737.201
3,Exxon Mobil,XOM,Energy,Oil & Gas Integrated,"264,938.00","14,340.00",70.24,62.12,61.38,51.44,52.59,37.97,36.86,46.47,45.63,45.47,45.32,44.72,44.49,42.08,42.05,39.94,39.75,34.33,33.79,32.62,33.14,38.13,38.96,41.22,3.6,3.5,4.4,14.8,13.2,11,10.2,8.4,7.8,6.8,6.7,6.7,20960.199,21057.417,19979.944,18153.206,18961.995,19991.603,20314.556,20493.66,20730.599,20812.84,20626.048,20737.201
4,Apple,AAPL,Technology,Consumer Electronics,"260,174.00","55,256.00",74.06,77.3775,76.075,68.34,70.57,63.5725,61.625,73.45,71.5625,79.485,79.4375,91.2,91.28,106.26,108.2,129.04,132.76,115.81,117.64,108.86,109.11,119.05,121.01,132.69,3.6,3.5,4.4,14.8,13.2,11,10.2,8.4,7.8,6.8,6.7,6.7,20960.199,21057.417,19979.944,18153.206,18961.995,19991.603,20314.556,20493.66,20730.599,20812.84,20626.048,20737.201
5,CVS Health,CVS,Healthcare,Healthcare Plans,"256,776.00","6,634.00",74.65,67.82,68.4,59.18,60.67,59.33,57.75,61.55,60.79,65.57,65.44,64.97,64.97,62.94,63.45,62.12,62.01,58.4,58.43,56.09,56.87,67.79,68.39,68.3,3.6,3.5,4.4,14.8,13.2,11,10.2,8.4,7.8,6.8,6.7,6.7,20960.199,21057.417,19979.944,18153.206,18961.995,19991.603,20314.556,20493.66,20730.599,20812.84,20626.048,20737.201
6,Berkshire Hathaway,BRKA,,,"254,616.00","81,417.00",,,,,,,,,,,,,,,,,,,,,,,,,3.6,3.5,4.4,14.8,13.2,11,10.2,8.4,7.8,6.8,6.7,6.7,20960.199,21057.417,19979.944,18153.206,18961.995,19991.603,20314.556,20493.66,20730.599,20812.84,20626.048,20737.201
7,UnitedHealth Group,UNH,Healthcare,Healthcare Plans,"242,155.00","13,839.00",293.98,272.45,275.13,254.96,257.34,249.38,238.69,292.47,288.39,304.85,304.02,294.95,295.83,302.78,303.59,312.55,310.16,311.77,312.91,305.14,312.64,336.34,344.77,350.68,3.6,3.5,4.4,14.8,13.2,11,10.2,8.4,7.8,6.8,6.7,6.7,20960.199,21057.417,19979.944,18153.206,18961.995,19991.603,20314.556,20493.66,20730.599,20812.84,20626.048,20737.201
8,McKesson,MCK,Healthcare,Medical Distribution,"214,319.00",34,139.11,142.61,143.03,139.86,141.57,135.26,130.46,141.25,139.13,158.67,158.33,153.42,153.42,150.16,155.66,153.44,154.17,148.93,149.45,147.49,150.34,179.91,183.06,173.92,3.6,3.5,4.4,14.8,13.2,11,10.2,8.4,7.8,6.8,6.7,6.7,20960.199,21057.417,19979.944,18153.206,18961.995,19991.603,20314.556,20493.66,20730.599,20812.84,20626.048,20737.201
9,AT&T,T,Communication Services,Telecom Services,"181,193.00","13,903.00",51.8478,49.8089,50.259,46.6313,46.8299,38.5946,37.5751,40.3423,40.7395,40.8586,40.713,40.0245,39.8921,39.1639,39.6472,39.4684,39.3758,37.7472,37.7605,35.7745,36.2776,38.065,38.1577,38.0782,3.6,3.5,4.4,14.8,13.2,11,10.2,8.4,7.8,6.8,6.7,6.7,20960.199,21057.417,19979.944,18153.206,18961.995,19991.603,20314.556,20493.66,20730.599,20812.84,20626.048,20737.201
10,AmerisourceBergen,ABC,,,"179,589.10",855.4,,,,,,,,,,,,,,,,,,,,,,,,,3.6,3.5,4.4,14.8,13.2,11,10.2,8.4,7.8,6.8,6.7,6.7,20960.199,21057.417,19979.944,18153.206,18961.995,19991.603,20314.556,20493.66,20730.599,20812.84,20626.048,20737.201
