rank,company,revenue ($ millions),profit ($ millions),Sector
1,Walmart,485873,13643,Consumer Defensive
2,Berkshire Hathaway,223604,24074,Financial Services
3,Apple,215639,45687,Technology
4,Exxon Mobil,205004,7840,Energy
5,McKesson,192487,2258,Healthcare
6,UnitedHealth Group,184840,7017,Healthcare
7,CVS Health,177526,5317,Healthcare
8,General Motors,166380,9427,Consumer Cyclical
9,AT&T,163786,12976,Communication Services
10,Ford Motor,151800,4596,Consumer Cyclical
11,AmerisourceBergen,146850,1427.9,Healthcare
12,Amazon.com,135987,2371,Consumer Cyclical
13,General Electric,126661,8831,Industrials
14,Verizon Communications,125980,13127,Communication Services
15,Cardinal Health,121546,1427,Healthcare
16,Costco,118719,2350,Consumer Defensive
17,Walgreens Boots Alliance,117351,4173,Healthcare
18,Kroger,115337,1975,Consumer Defensive
19,Chevron,107567,-497,Energy
20,Fannie Mae,107162,12313,Financial Services
21,J.P. Morgan Chase,105486,24733,Financial Services
22,Express Scripts Holding,100288,3404.4,Healthcare
23,Home Depot,94595,7957,Consumer Cyclical
24,Boeing,94571,4895,Industrials
25,Wells Fargo,94176,21938,Financial Services
26,Bank of America Corp.,93662,17906,Financial Services
27,Alphabet,90272,19478,Communication Services
28,Microsoft,85320,16798,Technology
29,Anthem,84863,2469.8,Healthcare
30,Citigroup,82386,14912,Financial Services
31,Comcast,80403,8695,Communication Services
32,IBM,79919,11872,Technology
33,State Farm Insurance Cos.,76132,350.3,Financial Services
34,Phillips 66,72396,1555,Energy
35,Johnson & Johnson,71890,16540,Healthcare
36,Procter & Gamble,71726,10508,Consumer Defensive
37,Valero Energy,70166,2289,Energy
38,Target,69495,2737,Consumer Defensive
39,Freddie Mac,65665,7815,Financial Services
40,Lowe’s,65017,3093,Consumer Cyclical
41,Dell Technologies,64806,-1672,Technology
42,MetLife,63476,800,Financial Services
43,Aetna,63155,2271,Healthcare
44,PepsiCo,62799,6329,Consumer Defensive
45,Archer Daniels Midland,62346,1279,Consumer Defensive
46,UPS,60906,3431,Industrials
47,Intel,59387,10316,Technology
48,Prudential Financial,58779,4368,Financial Services
49,Albertsons Cos.,58734,-502.2,Consumer Defensive
50,United Technologies,57244,5055,Industrials
51,Marathon Petroleum,55858,1174,Energy
52,Disney,55632,9391,Communication Services
53,Humana,54379,614,Healthcare
54,Pfizer,52824,7215,Healthcare
55,AIG,52367,-849,Financial Services
56,Lockheed Martin,50658,5302,Industrials
57,Sysco,50367,949.6,Consumer Defensive
58,FedEx,50365,1820,Industrials
59,Hewlett Packard Enterprise,50123,3161,Technology
60,Cisco Systems,49247,10739,Technology
61,HP,48238,2496,Technology
62,Dow Chemical,48158,4318,Basic Materials
63,HCA Holdings,44747,2890,Healthcare
64,Coca-Cola,41863,6527,Consumer Defensive
65,New York Life Insurance,40787,1088.1,Financial Services
66,Centene,40721,562,Healthcare
67,American Airlines Group,40180,2676,Industrials
68,Nationwide,40074,334.3,Financial Services
69,Merck,39807,3920,Healthcare
70,Cigna,39668,1867,Healthcare
71,Delta Air Lines,39639,4373,Industrials
72,Best Buy,39403,1228,Consumer Cyclical
73,Honeywell International,39302,4809,Industrials
74,Caterpillar,38537,-67,Industrials
75,Liberty Mutual Insurance Group,38308,1006,Financial Services
76,Morgan Stanley,37949,5979,Financial Services
77,Massachusetts Mutual Life Insurance,37788,1273.5,Financial Services
78,Goldman Sachs Group,37712,7398,Financial Services
79,Energy Transfer Equity,37504,995,Energy
80,TIAA,37105,1492.3,Financial Services
81,Oracle,37047,8901,Technology
82,Tyson Foods,36881,1768,Consumer Defensive
83,United Continental Holdings,36556,2263,Industrials
84,Allstate,36534,1877,Financial Services
85,Publix Super Markets,34274,2025.7,Consumer Defensive
86,American Express,33823,5408,Financial Services
87,TJX,33184,2298.2,Consumer Cyclical
88,Nike,32376,3760,Consumer Cyclical
89,Exelon,31360,1134,Utilities
90,General Dynamics,31353,2955,Industrials
91,Rite Aid,30737,165.5,Healthcare
92,Gilead Sciences,30390,13501,Healthcare
93,CHS,30347,424.2,Basic Materials
94,3M,30109,5050,Industrials
95,Time Warner,29318,3926,Communication Services
96,Charter Communications,29003,3522,Communication Services
97,Northwestern Mutual,28799,818,Financial Services
98,Facebook,27638,10217,Communication Services
99,Travelers Cos.,27625,3014,Financial Services
100,Capital One Financial,27519,3751,Financial Services
101,Twenty-First Century Fox,27326,2755,Communication Services
102,USAA,27131,1779.1,Financial Services
103,World Fuel Services,27016,126.5,Energy
104,Philip Morris International,26685,6967,Consumer Defensive
105,Deere,26644,1523.9,Industrials
106,Kraft Heinz,26487,3632,Consumer Defensive
107,Tech Data,26235,195.1,Technology
108,Avnet,26219,506.5,Technology
109,Mondelez International,25923,1659,Consumer Defensive
110,Macy’s,25778,619,Consumer Cyclical
111,AbbVie,25638,5953,Healthcare
112,McDonald’s,24622,4686.5,Consumer Cyclical
113,DuPont,24594,2513,Basic Materials
114,Northrop Grumman,24508,2200,Industrials
115,ConocoPhillips,24360,-3615,Energy
116,Raytheon,24069,2211,Industrials
117,Andeavor,24005,734,Energy
118,Arrow Electronics,23825,522.8,Technology
119,Qualcomm,23554,5705,Technology
120,Progressive,23441,1031,Financial Services
121,Duke Energy,23369,2152,Utilities
122,Enterprise Products Partners,23022,2513.1,Energy
123,Amgen,22991,7722,Healthcare
124,US Foods Holding,22919,209.8,Consumer Defensive
125,U.S. Bancorp,22744,5888,Financial Services
126,Aflac,22559,2659,Financial Services
127,Sears Holdings,22138,-2221,Consumer Cyclical
128,Dollar General,21987,1251.1,Consumer Defensive
129,AutoNation,21609,430.5,Consumer Cyclical
130,Community Health Systems,21374,-1721,Healthcare
131,Starbucks,21316,2817.7,Consumer Cyclical
132,Eli Lilly,21222,2737.6,Healthcare
133,International Paper,21079,904,Consumer Cyclical
134,Tenet Healthcare,21070,-192,Healthcare
135,Abbott Laboratories,20853,1400,Healthcare
136,Dollar Tree,20719,896.2,Consumer Defensive
137,Whirlpool,20718,888,Consumer Cyclical
138,Southwest Airlines,20425,2244,Industrials
139,Emerson Electric,20268,1635,Industrials
140,Staples,20217,-1497,Consumer Defensive
141,Plains GP Holdings,20182,94,Energy
142,Penske Automotive Group,20143,342.9,Consumer Cyclical
143,Union Pacific,19941,4233,Industrials
144,Danaher,19912,2553.7,Healthcare
145,Southern,19896,2448,Utilities
146,ManpowerGroup,19654,443.7,Industrials
147,Bristol-Myers Squibb,19427,4457,Healthcare
148,Altria Group,19337,14239,Consumer Defensive
149,Fluor,19037,281.4,Industrials
150,Kohl’s,18686,556,Consumer Cyclical
151,Lear,18558,975.1,Consumer Cyclical
152,Jabil,18353,254.1,Technology
153,Hartford Financial Services Group,18300,896,Financial Services
154,Thermo Fisher Scientific,18274,2021.8,Healthcare
155,Kimberly-Clark,18202,2166,Consumer Defensive
156,Molina Healthcare,17782,52,Healthcare
157,PG&E Corp.,17666,1393,Utilities
158,Supervalu,17529,178,Consumer Defensive
159,Cummins,17509,1394,Industrials
160,CenturyLink,17470,626,Communication Services
161,AECOM,17411,96.1,Industrials
162,Xerox,17126,-477,Technology
163,Marriott International,17072,780,Consumer Cyclical
164,Paccar,17033,521.7,Industrials
165,General Mills,16563,1697.4,Consumer Defensive
166,PNC Financial Services Group,16423,3903,Financial Services
167,American Electric Power,16380,610.9,Utilities
168,Icahn Enterprises,16348,-1128,Energy
169,Nucor,16208,796.3,Basic Materials
170,NextEra Energy,16155,2912,Utilities
171,Performance Food Group,16105,68.3,Consumer Defensive
172,PBF Energy,15920,170.8,Energy
173,Halliburton,15887,-5763,Energy
174,CarMax,15833,623.4,Consumer Cyclical
175,Freeport-McMoRan,15789,-4154,Basic Materials
176,Whole Foods Market,15724,507,Consumer Defensive
177,Bank of New York Mellon,15683,3547,Financial Services
178,Gap,15516,676,Consumer Cyclical
