rank,company,revenue ($ millions),profit ($ millions),Sector
1,Wal-Mart Stores,421849.0,16389.0,Consumer Defensive
2,Exxon Mobil,354674.0,30460.0,Energy
3,Chevron,196337.0,19024.0,Energy
4,ConocoPhillips,184966.0,11358.0,Energy
5,Fannie Mae,153825.0,-14014.0,Financial Services
6,General Electric,151628.0,11644.0,Industrials
7,Berkshire Hathaway,136185.0,12967.0,Financial Services
8,General Motors,135592.0,6172.0,Consumer Cyclical
9,Bank of America Corp.,134194.0,-2238.0,Financial Services
10,Ford Motor,128954.0,6561.0,Consumer Cyclical
11,Hewlett-Packard,126033.0,8761.0,Technology
12,AT&T,124629.0,19864.0,Communication Services
13,J.P. Morgan Chase & Co.,115475.0,17370.0,Financial Services
14,Citigroup,111055.0,10602.0,Financial Services
15,McKesson,108702.0,1263.0,Healthcare
16,Verizon Communications,106565.0,2549.0,Communication Services
17,American International Group,104417.0,7786.0,Financial Services
18,International Business Machines,99870.0,14833.0,Technology
19,Cardinal Health,98601.9,642.2,Healthcare
20,Freddie Mac,98368.0,-14025.0,Financial Services
21,CVS Caremark,96413.0,3427.0,Healthcare
22,UnitedHealth Group,94155.0,4634.0,Healthcare
23,Wells Fargo,93249.0,12362.0,Financial Services
24,Valero Energy,86034.0,324.0,Energy
25,Kroger,82189.4,1116.3,Consumer Defensive
26,Procter & Gamble,79689.0,12736.0,Consumer Defensive
27,AmerisourceBergen,77954.0,636.7,Healthcare
28,Costco Wholesale,77946.0,1303.0,Consumer Defensive
29,Marathon Oil,68413.0,2568.0,Energy
30,Home Depot,67997.0,3338.0,Consumer Cyclical
31,Pfizer,67809.0,8257.0,Healthcare
32,Walgreen,67420.0,2091.0,Healthcare
33,Target,67390.0,2920.0,Consumer Defensive
34,Medco Health Solutions,65968.3,1427.3,Healthcare
35,Apple,65225.0,14013.0,Technology
36,Boeing,64306.0,3307.0,Industrials
37,State Farm Insurance Cos.,63176.7,1762.8,Financial Services
38,Microsoft,62484.0,18760.0,Technology
39,Archer Daniels Midland,61682.0,1930.0,Consumer Defensive
40,Johnson & Johnson,61587.0,13334.0,Healthcare
41,Dell,61494.0,2635.0,Technology
