rank,company,revenue ($ millions),profit ($ millions),Sector
1,Walmart,485651,16363,Consumer Defensive
2,Exxon Mobil,382597,32520,Energy
3,Chevron,203784,19241,Energy
4,Berkshire Hathaway,194673,19872,Financial Services
5,Apple,182795,39510,Technology
6,General Motors,155929,3949,Consumer Cyclical
7,Phillips 66,149434,4762,Energy
8,General Electric,148321,15233,Industrials
9,Ford Motor,144077,3187,Consumer Cyclical
10,CVS Health,139367,4644,Healthcare
11,McKesson,138030,1263,Healthcare
12,AT&T,132447,6224,Communication Services
13,Valero Energy,130844,3630,Energy
14,UnitedHealth Group,130474,5619,Healthcare
15,Verizon,127079,9625,Communication Services
16,AmerisourceBergen,119569,277,Healthcare
17,Fannie Mae,116461,14208,Financial Services
18,Costco,112640,2058,Consumer Defensive
19,HP,111454,5013,Technology
20,Kroger,108465,1728,Consumer Defensive
21,JP Morgan Chase,102102,21762,Financial Services
22,Express Scripts Holding,100887,2008,Healthcare
23,Bank of America Corp.,95181,4833,Financial Services
24,IBM,94128,12022,Technology
25,Marathon Petroleum,91417,2524,Energy
26,Cardinal Health,91084,1166,Healthcare
27,Boeing,90762,5446,Industrials
28,Citigroup,90646,7313,Financial Services
29,Amazon.com,88988,-241,Consumer Cyclical
30,Wells Fargo,88372,23057,Financial Services
31,Microsoft,86833,22074,Technology
32,Procter & Gamble,84537,11643,Consumer Defensive
33,Home Depot,83176,6345,Consumer Cyclical
34,Archer Daniels Midland,81201,2248,Consumer Defensive
35,Walgreens,76392,1932,Healthcare
36,Target,74520,-1636,Consumer Defensive
37,Johnson & Johnson,74331,16323,Healthcare
38,Anthem,73874,2570,Healthcare
39,MetLife,73316,6309,Financial Services
40,Alphabet,71487,14444,Communication Services
41,State Farm Insurance Cos.,71160,4191,Financial Services
42,Freddie Mac,69367,7690,Financial Services
43,Comcast,68775,8380,Communication Services
44,PepsiCo,66683,6513,Consumer Defensive
45,United Technologies,65100,6220,Industrials
46,AIG,64406,7529,Financial Services
47,UPS,58232,3032,Industrials
48,Dow Chemical,58167,3772,Basic Materials
49,Aetna,58003,2041,Healthcare
50,Lowe’s,56223,2698,Consumer Cyclical
51,ConocoPhillips,55997,6869,Energy
52,Intel,55870,11704,Technology
53,Energy Transfer Equity,55691,633,Energy
54,Caterpillar,55184,3695,Industrials
55,Prudential Financial,54123,1381,Financial Services
56,Pfizer,49605,9135,Healthcare
57,Walt Disney,48813,7501,Communication Services
58,Humana,48500,1147,Healthcare
59,Enterprise Products Partners,47951,2787,Energy
60,Cisco Systems,47142,7853,Technology
61,Sysco,46517,932,Consumer Defensive
62,Ingram Micro,46487,267,Technology
63,Coca-Cola,45998,7098,Consumer Defensive
64,Lockheed Martin,45600,3614,Industrials
65,FedEx,45567,2097,Industrials
66,Johnson Controls,43855,1215,Industrials
67,Plains GP Holdings,43464,70,Energy
68,World Fuel Services,43386,222,Energy
69,CHS,42664,1081,Basic Materials
70,American Airlines Group,42650,2882,Industrials
71,Merck,42237,11920,Healthcare
72,Best Buy,41903,1233,Consumer Cyclical
73,Delta Air Lines,40362,659,Industrials
74,Honeywell International,40306,4239,Industrials
75,HCA Holdings,40087,1875,Healthcare
76,Goldman Sachs Group,40085,8477,Financial Services
77,Tesoro,40052,843,Basic Materials
78,Liberty Mutual Insurance Group,39796,1833,Financial Services
79,United Continental Holdings,38901,1132,Industrials
80,New York Life Insurance,38680,1602,Financial Services
81,Oracle,38275,10955,Technology
82,Morgan Stanley,37953,3467,Financial Services
83,Tyson Foods,37580,864,Consumer Defensive
84,Safeway,36643,113,Consumer Defensive
85,Nationwide,36257,432,Financial Services
86,Deere,36067,3162,Industrials
87,DuPont,36046,3625,Basic Materials
88,American Express,35999,5885,Financial Services
89,Allstate,35239,2850,Financial Services
90,Cigna,34914,2102,Healthcare
91,Mondelez International,34244,2184,Consumer Defensive
92,TIAA-CREF,34230,967,Financial Services
93,INTL FCStone,34063,19,Financial Services
94,Massachusetts Mutual Life Insurance,33572,1327,Financial Services
95,DirecTV,33260,2756,Communication Services
96,Halliburton,32870,3500,Energy
97,Twenty-First Century Fox,31867,4514,Communication Services
98,3M,31821,4956,Industrials
99,Sears Holdings,31198,-1682,Consumer Cyclical
100,General Dynamics,30852,2533,Industrials
101,Publix Super Markets,30803,1735,Consumer Defensive
102,Philip Morris International,29767,7493,Consumer Defensive
103,TJX,29078,2215,Consumer Cyclical
104,Time Warner,28774,3827,Communication Services
105,Macy’s,28105,1526,Consumer Cyclical
106,Nike,27799,2693,Consumer Cyclical
107,Tech Data,27671,175,Technology
108,Avnet,27500,546,Technology
109,Northwestern Mutual,27465,679,Financial Services
110,McDonald’s,27441,4758,Consumer Cyclical
111,Exelon,27429,1623,Utilities
112,Travelers Cos.,27162,3692,Financial Services
113,Qualcomm,26487,7967,Technology
114,International Paper,26221,555,Consumer Cyclical
115,Occidental Petroleum,25898,616,Energy
116,Duke Energy,25673,1883,Utilities
117,Rite Aid,25526,249,Healthcare
118,Gilead Sciences,24890,12101,Healthcare
