rank,company,revenue ($ millions),profit ($ millions),Sector
1,Walmart,500343.00,9862.00,Consumer Defensive
2,Exxon Mobil,244363.00,19710.00,Energy
3,Berkshire Hathaway,242137.00,44940.00,Financial Services
4,Apple,229234.00,48351.00,Technology
5,UnitedHealth Group,201159.00,10558.00,Healthcare
6,McKesson,198533.00,5070.00,Healthcare
7,CVS Health,184765.00,6622.00,Healthcare
8,Amazon.com,177866.00,3033.00,Consumer Cyclical
9,AT&T,160546.00,29450.00,Communication Services
10,General Motors,157311.00,-3864.00,Consumer Cyclical
11,Ford Motor,156776.00,7602.00,Consumer Cyclical
12,AmerisourceBergen,153143.80,364.5,Healthcare
13,Chevron,134533.00,9195.00,Energy
14,Cardinal Health,129976.00,1288.00,Healthcare
15,Costco,129025.00,2679.00,Consumer Defensive
16,Verizon,126034.00,30101.00,Communication Services
17,Kroger,122662.00,1907.00,Consumer Defensive
18,General Electric,122274.00,-5786.00,Industrials
19,Walgreens Boots Alliance,118214.00,4078.00,Healthcare
20,JPMorgan Chase,113899.00,24441.00,Financial Services
21,Fannie Mae,112394.00,2463.00,Financial Services
22,Alphabet,110855.00,12662.00,Communication Services
23,Home Depot,100904.00,8630.00,Consumer Cyclical
24,Bank of America Corp.,100264.00,18232.00,Financial Services
25,Express Scripts Holding,100064.60,4517.40,Healthcare
26,Wells Fargo,97741.00,22183.00,Financial Services
27,Boeing,93392.00,8197.00,Industrials
28,Phillips 66,91568.00,5106.00,Energy
29,Anthem,90039.40,3842.80,Healthcare
30,Microsoft,89950.00,21204.00,Technology
31,Valero Energy,88407.00,4065.00,Energy
32,Citigroup,87966.00,-6798.00,Financial Services
33,Comcast,84526.00,22714.00,Communication Services
34,IBM,79139.00,5753.00,Technology
35,Dell Technologies,78660.00,-3728.00,Technology
36,State Farm Insurance Cos.,78330.80,2206.50,Financial Services
37,Johnson & Johnson,76450.00,1300.00,Healthcare
38,Freddie Mac,74676.00,5625.00,Financial Services
39,Target,71879.00,2934.00,Consumer Defensive
40,Lowe’s,68619.00,3447.00,Consumer Cyclical
41,Marathon Petroleum,67610.00,3432.00,Energy
42,Procter & Gamble,66217.00,15326.00,Consumer Defensive
43,MetLife,66153.00,4010.00,Financial Services
44,UPS,65872.00,4910.00,Industrials
45,PepsiCo,63525.00,4857.00,Consumer Defensive
46,Intel,62761.00,9601.00,Technology
47,DowDuPont,62683.00,1460.00,Basic Materials
48,Archer Daniels Midland,60828.00,1595.00,Consumer Defensive
49,Aetna,60535.00,1904.00,Healthcare
50,FedEx,60319.00,2997.00,Industrials
51,United Technologies,59837.00,4552.00,Industrials
52,Prudential Financial,59689.00,7863.00,Financial Services
53,Albertsons Cos.,59678.20,-373.3,Consumer Defensive
54,Sysco,55371.10,1142.50,Consumer Defensive
55,Disney,55137.00,8980.00,Communication Services
56,Humana,53767.00,2448.00,Healthcare
57,Pfizer,52546.00,21308.00,Healthcare
58,HP,52056.00,2526.00,Technology
59,Lockheed Martin,51048.00,2002.00,Industrials
60,AIG,49520.00,-6084.00,Financial Services
61,Centene,48572.00,828,Healthcare
62,Cisco Systems,48005.00,9609.00,Technology
63,HCA Healthcare,47653.00,2216.00,Healthcare
64,Energy Transfer Equity,47487.00,954,Energy
65,Caterpillar,45462.00,754,Industrials
66,Nationwide,43939.90,246.5,Financial Services
67,Morgan Stanley,43642.00,6111.00,Financial Services
68,Liberty Mutual Insurance Group,42687.00,17,Financial Services
69,New York Life Insurance,42296.00,1866.90,Financial Services
70,Goldman Sachs Group,42254.00,4286.00,Financial Services
71,American Airlines Group,42207.00,1919.00,Industrials
72,Best Buy,42151.00,1000.00,Consumer Cyclical
73,Cigna,41616.00,2237.00,Healthcare
74,Charter Communications,41581.00,9895.00,Communication Services
75,Delta Air Lines,41244.00,3577.00,Industrials
76,Facebook,40653.00,15934.00,Communication Services
77,Honeywell International,40534.00,1655.00,Industrials
78,Merck,40122.00,2394.00,Healthcare
79,Allstate,38524.00,3189.00,Financial Services
80,Tyson Foods,38260.00,1774.00,Consumer Defensive
81,United Continental Holdings,37736.00,2131.00,Industrials
82,Oracle,37728.00,9335.00,Technology
83,Tech Data,36775.00,116.6,Technology
84,TIAA,36025.30,1049.70,Financial Services
85,TJX,35864.70,2607.90,Consumer Cyclical
86,American Express,35583.00,2736.00,Financial Services
87,Coca-Cola,35410.00,1248.00,Consumer Defensive
88,Publix Super Markets,34836.80,2291.90,Consumer Defensive
89,Nike,34350.00,4240.00,Consumer Cyclical
90,Andeavor,34204.00,1528.00,Energy
91,World Fuel Services,33695.50,-170.2,Energy
92,Exelon,33531.00,3770.00,Utilities
93,Massachusetts Mutual Life Insurance,33495.40,513,Financial Services
94,Rite Aid,32845.10,4.1,Healthcare
95,ConocoPhillips,32584.00,-855,Energy
96,CHS,31934.80,127.9,Basic Materials
97,3M,31657.00,4858.00,Industrials
98,Time Warner,31271.00,5247.00,Communication Services
99,General Dynamics,30973.00,2912.00,Industrials
100,USAA,30015.80,2421.90,Financial Services
101,Capital One Financial,29999.00,1982.00,Financial Services
102,Deere,29737.70,2159.10,Industrials
103,INTL FCStone,29423.60,6.4,Financial Services
104,Northwestern Mutual,29331.00,1017.00,Financial Services
105,Enterprise Products Partners,29241.50,2799.30,Energy
