rank,company,revenue ($ millions),profit ($ millions),Sector
1,Walmart,514405.0,6670.0,Consumer Defensive
2,Exxon Mobil,290212.0,20840.0,Energy
3,Apple,265595.0,59531.0,Technology
4,Berkshire Hathaway,247837.0,4021.0,Financial Services
5,Amazon.com,232887.0,10073.0,Consumer Cyclical
6,UnitedHealth Group,226247.0,11986.0,Healthcare
7,McKesson,208357.0,67.0,Healthcare
8,CVS Health,194579.0,-594.0,Healthcare
9,AT&T,170756.0,19370.0,Communication Services
10,AmerisourceBergen,167939.6,1658.4,Healthcare
11,Chevron,166339.0,14824.0,Energy
12,Ford Motor,160338.0,3677.0,Consumer Cyclical
13,General Motors,147049.0,8014.0,Consumer Cyclical
14,Costco Wholesale,141576.0,3134.0,Consumer Defensive
15,Alphabet,136819.0,30736.0,Communication Services
16,Cardinal Health,136809.0,256.0,Healthcare
17,Walgreens Boots Alliance,131537.0,5024.0,Healthcare
18,JPMorgan Chase,131412.0,32474.0,Financial Services
19,Verizon Communications,130863.0,15528.0,Communication Services
20,Kroger,121162.0,3110.0,Consumer Defensive
21,General Electric,120268.0,-22355.0,Industrials
22,Fannie Mae,120101.0,15959.0,Financial Services
23,Phillips 66,114217.0,5595.0,Energy
24,Valero Energy,111407.0,3122.0,Energy
25,Bank of America,110584.0,28147.0,Financial Services
26,Microsoft,110360.0,16571.0,Technology
27,Home Depot,108203.0,11121.0,Consumer Cyclical
28,Boeing,101127.0,10460.0,Industrials
29,Wells Fargo,101060.0,22393.0,Financial Services
30,Citigroup,97120.0,18045.0,Financial Services
31,Marathon Petroleum,97102.0,2780.0,Energy
32,Comcast,94507.0,11731.0,Communication Services
33,Anthem,92105.0,3750.0,Healthcare
34,Dell Technologies,90621.0,-2310.0,Technology
35,DuPont de Nemours,85977.0,3844.0,Basic Materials
36,State Farm Insurance,81732.2,8788.4,Financial Services
37,Johnson & Johnson,81581.0,15297.0,Healthcare
38,IBM,79591.0,8728.0,Technology
39,Target,75356.0,2937.0,Consumer Defensive
40,Freddie Mac,73598.0,9235.0,Financial Services
41,United Parcel Service,71861.0,4791.0,Industrials
42,Lowe's,71309.0,2314.0,Consumer Cyclical
43,Intel,70848.0,21053.0,Technology
44,MetLife,67941.0,5123.0,Financial Services
45,Procter & Gamble,66832.0,9750.0,Consumer Defensive
46,United Technologies,66501.0,5269.0,Industrials
47,FedEx,65450.0,4572.0,Industrials
48,PepsiCo,64661.0,12515.0,Consumer Defensive
49,Archer Daniels Midland,64341.0,1810.0,Consumer Defensive
50,Prudential Financial,62992.0,4074.0,Financial Services
51,Centene,60116.0,900.0,Healthcare
52,Albertsons,59924.6,46.3,Consumer Defensive
53,Walt Disney,59434.0,12598.0,Communication Services
54,Sysco,58727.3,1430.8,Consumer Defensive
55,HP,58472.0,5327.0,Technology
56,Humana,56912.0,1683.0,Healthcare
57,Facebook,55838.0,22112.0,Communication Services
58,Caterpillar,54722.0,6147.0,Industrials
59,Energy Transfer,54436.0,1694.0,Energy
60,Lockheed Martin,53762.0,5046.0,Industrials
61,Pfizer,53647.0,11153.0,Healthcare
62,Goldman Sachs Group,52528.0,10459.0,Financial Services
63,Morgan Stanley,50193.0,8748.0,Financial Services
64,Cisco Systems,49330.0,110.0,Technology
65,Cigna,48650.0,2637.0,Healthcare
66,AIG,47389.0,-6.0,Financial Services
67,HCA Healthcare,46677.0,3787.0,Healthcare
68,American Airlines Group,44541.0,1412.0,Industrials
69,Delta Air Lines,44438.0,3935.0,Industrials
70,Charter Communications,43634.0,1230.0,Communication Services
71,New York Life Insurance,43425.3,880.0,Financial Services
72,American Express,43281.0,6921.0,Financial Services
73,Nationwide,43270.0,512.6,Financial Services
74,Best Buy,42879.0,1464.0,Consumer Cyclical
75,Liberty Mutual Insurance Group,42685.0,2160.0,Financial Services
76,Merck,42294.0,6220.0,Healthcare
77,Honeywell International,41802.0,6765.0,Industrials
78,United Continental Holdings,41303.0,2129.0,Industrials
79,TIAA,41052.1,1560.5,Financial Services
80,Tyson Foods,40052.0,3024.0,Consumer Defensive
81,Oracle,39831.0,3825.0,Technology
82,Allstate,39815.0,2252.0,Financial Services
83,World Fuel Services,39750.3,127.7,Energy
84,Massachusetts Mutual Life Insurance,39267.2,397.9,Financial Services
85,TJX,38972.9,3059.8,Consumer Cyclical
86,ConocoPhillips,38727.0,6257.0,Energy
87,Deere,37357.7,2368.4,Industrials
88,Tech Data,37239.0,340.6,Technology
89,Enterprise Products Partners,36534.2,4172.4,Energy
90,Nike,36397.0,1933.0,Consumer Cyclical
91,Publix Super Markets,36395.7,2381.2,Consumer Defensive
92,General Dynamics,36193.0,3345.0,Industrials
93,Exelon,35985.0,2010.0,Utilities
94,Plains GP Holdings,34055.0,334.0,Energy
95,3M,32765.0,5349.0,Industrials
96,AbbVie,32753.0,5687.0,Healthcare
97,CHS,32683.3,775.9,Basic Materials
98,Capital One Financial,32377.0,6015.0,Financial Services
99,Progressive,31979.0,2615.3,Financial Services
100,Coca-Cola,31856.0,6434.0,Consumer Defensive
101,USAA,31367.8,2291.9,Financial Services
102,Hewlett Packard Enterprise,30852.0,1908.0,Technology
103,Abbott Laboratories,30578.0,2368.0,Healthcare
104,Twenty-First Century Fox,30400.0,4464.0,Communication Services
105,Micron Technology,30391.0,14135.0,Technology
106,Travelers,30282.0,2523.0,Financial Services
107,Rite Aid,30215.4,943.5,Healthcare
108,Northrop Grumman,30095.0,3229.0,Industrials
109,Arrow Electronics,29676.8,716.2,Technology
110,Philip Morris International,29625.0,7911.0,Consumer Defensive
111,Northwestern Mutual,29124.0,783.0,Financial Services
112,INTL FCStone,27622.7,55.5,Financial Services
113,PBF Energy,27186.1,128.3,Energy
114,Raytheon,27058.0,2909.0,Industrials
115,Kraft Heinz,26259.0,-10229.0,Consumer Defensive
116,Mondelez International,25938.0,3381.0,Consumer Defensive
117,U.S. Bancorp,25775.0,7096.0,Financial Services
118,Macy's,25739.0,1108.0,Consumer Cyclical
119,Dollar General,25625.0,1589.5,Consumer Defensive
120,Nucor,25067.3,2360.8,Basic Materials
121,Starbucks,24719.5,4518.3,Consumer Cyclical
122,DXC Technology,24556.0,1751.0,Technology
123,Eli Lilly,24555.7,3232.0,Healthcare
124,Thermo Fisher Scientific,24358.0,2938.0,Healthcare
125,US Foods Holding,24175.0,407.0,Consumer Defensive
126,Duke Energy,24116.0,2666.0,Utilities
127,Halliburton,23995.0,1656.0,Energy
128,Cummins,23771.0,2141.0,Industrials
129,Amgen,23747.0,8394.0,Healthcare
130,Paccar,23495.7,2195.1,Industrials
131,Southern,23495.0,2226.0,Utilities
132,CenturyLink,23443.0,-1733.0,Communication Services
133,International Paper,23306.0,2012.0,Consumer Cyclical
134,Union Pacific,22832.0,5966.0,Industrials
135,Dollar Tree,22823.3,-1590.8,Consumer Defensive
136,Penske Automotive Group,22785.1,471.0,Consumer Cyclical
137,Qualcomm,22732.0,-4864.0,Technology
138,Bristol-Myers Squibb,22561.0,4920.0,Healthcare
139,Gilead Sciences,22127.0,5455.0,Healthcare
140,Jabil,22095.4,86.3,Technology
141,ManpowerGroup,21991.2,556.7,Industrials
142,Southwest Airlines,21965.0,2465.0,Industrials
143,Aflac,21758.0,2920.0,Financial Services
144,Tesla,21461.3,-976.1,Consumer Cyclical
145,AutoNation,21412.8,396.0,Consumer Cyclical
146,CBRE Group,21340.1,1063.2,Real Estate
147,Lear,21148.5,1149.8,Consumer Cyclical
148,Whirlpool,21037.0,-183.0,Consumer Cyclical
149,McDonald's,21025.2,5924.3,Consumer Cyclical
150,Broadcom,20848.0,12259.0,Technology
151,Marriott International,20758.0,1907.0,Consumer Cyclical
152,Western Digital,20647.0,675.0,Technology
153,Visa,20609.0,10301.0,Financial Services
154,Lennar,20571.6,1695.8,Consumer Cyclical
155,WellCare Health Plans,20414.1,439.8,Healthcare
156,Kohl's,20229.0,801.0,Consumer Cyclical
157,AECOM,20155.5,136.5,Industrials
158,Synnex,20053.8,300.6,Technology
159,PNC Financial Services,19993.0,5301.0,Financial Services
160,Danaher,19893.0,2650.9,Healthcare
161,Hartford Financial Services,19827.0,1807.0,Financial Services
162,Altria Group,19627.0,6963.0,Consumer Defensive
163,Bank of New York Mellon,19214.0,4266.0,Financial Services
164,Fluor,19166.6,224.8,Industrials
165,Avnet,19036.9,-156.4,Technology
166,Icahn Enterprises,18979.0,1507.0,Energy
167,Occidental Petroleum,18934.0,4131.0,Energy
168,Molina Healthcare,18890.0,707.0,Healthcare
169,Genuine Parts,18735.1,810.5,Consumer Cyclical
170,Freeport-McMoRan,18628.0,2602.0,Basic Materials
171,Kimberly-Clark,18486.0,1410.0,Consumer Defensive
172,Tenet Healthcare,18313.0,111.0,Healthcare
173,Synchrony Financial,18253.0,2790.0,Financial Services
174,CarMax,17976.8,664.1,Consumer Cyclical
175,HollyFrontier,17714.7,1098.0,Energy
176,Performance Food Group,17619.9,198.7,Consumer Defensive
177,Sherwin-Williams,17534.5,1108.7,Basic Materials
178,Emerson Electric,17408.0,2203.0,Industrials
179,NGL Energy Partners,17282.7,-70.9,Energy
180,XPO Logistics,17279.0,422.0,Industrials
181,EOG Resources,17275.4,3419.0,Energy
182,Applied Materials,17253.0,3313.0,Technology
183,PG&E,16759.0,-6851.0,Utilities
184,NextEra Energy,16727.0,6638.0,Utilities
185,C.H. Robinson Worldwide,16631.2,664.5,Industrials
186,Gap,16580.0,1003.0,Consumer Cyclical
187,Lincoln National,16424.0,1641.0,Financial Services
188,DaVita,16368.6,159.4,Healthcare
189,Jones Lang LaSalle,16318.4,484.5,Real Estate
190,WestRock,16285.1,1906.1,Consumer Cyclical
191,CDW,16240.5,643.0,Technology
192,American Electric Power,16195.7,1923.8,Utilities
193,Cognizant Technology Solutions,16125.0,2101.0,Technology
194,D.R. Horton,16068.0,1460.3,Consumer Cyclical
195,Becton Dickinson,15983.0,311.0,Healthcare
196,Nordstrom,15860.0,564.0,Consumer Cyclical
197,Netflix,15794.3,1211.2,Communication Services
198,Aramark,15789.6,567.9,Industrials
199,Texas Instruments,15784.0,5580.0,Technology
200,General Mills,15740.4,2131.0,Consumer Defensive
201,Supervalu,15679.0,45.0,Consumer Defensive
202,Colgate-Palmolive,15544.0,2400.0,Consumer Defensive
203,Goodyear Tire & Rubber,15475.0,693.0,Consumer Cyclical
204,PayPal Holdings,15451.0,2057.0,Financial Services
205,PPG Industries,15374.0,1341.0,Basic Materials
206,Omnicom Group,15290.2,1326.4,Communication Services
207,Celgene,15281.0,4046.0,Healthcare
208,Jacobs Engineering Group,14984.6,163.4,Industrials
209,Ross Stores,14983.5,1587.5,Consumer Cyclical
210,Marsh & McLennan,14950.0,1650.0,Financial Services
210,Mastercard,14950.0,5859.0,Financial Services
212,Land O'Lakes,14936.2,254.5,Consumer Defensive
213,Waste Management,14914.0,1925.0,Industrials
214,Illinois Tool Works,14768.0,2563.0,Industrials
215,Ecolab,14668.2,1429.1,Basic Materials
216,Booking Holdings,14527.0,3998.0,Consumer Cyclical
217,CBS,14514.0,1960.0,Communication Services
218,Parker-Hannifin,14302.4,1060.8,Industrials
219,Principal Financial,14237.2,1546.5,Financial Services
220,DTE Energy,14212.0,1120.0,Utilities
