rank,company,revenue ($ millions),profit ($ millions),Sector
1,Walmart,482130,14694,Consumer Defensive
2,Exxon Mobil,246204,16150,Energy
3,Apple,233715,53394,Technology
4,Berkshire Hathaway,210821,24083,Financial Services
5,McKesson,181241,1476,Healthcare
6,UnitedHealth Group,157107,5813,Healthcare
7,CVS Health,153290,5237,Healthcare
8,General Motors,152356,9687,Consumer Cyclical
9,Ford Motor,149558,7373,Consumer Cyclical
10,AT&T,146801,13345,Communication Services
11,General Electric,140389,-6126,Industrials
12,AmerisourceBergen,135962,-135,Healthcare
13,Verizon,131620,17879,Communication Services
14,Chevron,131118,4587,Energy
15,Costco,116199,2377,Consumer Defensive
16,Fannie Mae,110359,10954,Financial Services
17,Kroger,109830,2039,Consumer Defensive
18,Amazon.com,107006,596,Consumer Cyclical
19,Walgreens Boots Alliance,103444,4220,Healthcare
20,HP,103355,4554,Technology
21,Cardinal Health,102531,1215,Healthcare
22,Express Scripts Holding,101752,2476,Healthcare
23,J.P. Morgan Chase,101006,24442,Financial Services
24,Boeing,96114,5176,Industrials
25,Microsoft,93580,12193,Technology
26,Bank of America Corp.,93056,15888,Financial Services
27,Wells Fargo,90033,22894,Financial Services
28,Home Depot,88519,7009,Consumer Cyclical
29,Citigroup,88275,17242,Financial Services
30,Phillips 66,87169,4227,Energy
31,IBM,82461,13190,Technology
32,Valero Energy,81824,3990,Energy
33,Anthem,79157,2560,Healthcare
34,Procter & Gamble,78756,7036,Consumer Defensive
35,State Farm Insurance Cos.,75697,6229,Financial Services
36,Alphabet,74989,16348,Communication Services
37,Comcast,74510,8163,Communication Services
38,Target,73785,3363,Consumer Defensive
39,Johnson & Johnson,70074,15409,Healthcare
40,MetLife,69951,5310,Financial Services
41,Archer Daniels Midland,67702,1849,Consumer Defensive
42,Marathon Petroleum,64566,2852,Energy
43,Freddie Mac,63491,6376,Financial Services
44,PepsiCo,63056,5452,Consumer Defensive
45,United Technologies,61047,7608,Industrials
46,Aetna,60337,2390,Healthcare
