rank,company,revenue ($ millions),profit ($ millions),Sector
1,Exxon Mobil,452926,41060,Energy
2,Wal-Mart Stores,446950,15699,Consumer Defensive
3,Chevron,245621,26895,Energy
4,ConocoPhillips,237272,12436,Energy
5,General Motors,150276,9190,Consumer Cyclical
6,General Electric,147616,14151,Industrials
7,Berkshire Hathaway,143688,10254,Financial Services
8,Fannie Mae,137451,-16855,Financial Services
9,Ford Motor,136264,20213,Consumer Cyclical
10,Hewlett-Packard,127245,7074,Technology
11,AT&T,126723,3944,Communication Services
12,Valero Energy,125095,2090,Energy
13,Bank of America Corp.,115074,1446,Financial Services
14,McKesson,112084,1202,Healthcare
15,Verizon Communications,110875,2404,Communication Services
16,J.P. Morgan Chase & Co.,110838,18976,Financial Services
17,Apple,108249,25922,Technology
18,CVS Caremark,107750,3461,Healthcare
19,International Business Machines,106916,15855,Technology
20,Citigroup,102939,11067,Financial Services
21,Cardinal Health,102644.2,959,Healthcare
22,UnitedHealth Group,101862,5142,Healthcare
23,Kroger,90374,602,Consumer Defensive
24,Costco Wholesale,88915,1462,Consumer Defensive
25,Freddie Mac,88262,-5266,Financial Services
26,Wells Fargo,87597,15869,Financial Services
27,Procter & Gamble,82559,11797,Consumer Defensive
28,Archer Daniels Midland,80676,2036,Consumer Defensive
29,AmerisourceBergen,80217.6,706.6,Healthcare
30,INTL FCStone,75497.6,37.3,Financial Services
31,Marathon Petroleum,73645,2389,Energy
32,Walgreen,72184,2714,Healthcare
33,American International Group,71730,17798,Financial Services
34,MetLife,70641,6981,Financial Services
35,Home Depot,70395,3883,Consumer Cyclical
36,Medco Health Solutions,70063.3,1455.7,Healthcare
37,Microsoft,69943,23150,Technology
38,Target,69865,2929,Consumer Defensive
39,Boeing,68735,4018,Industrials
40,Pfizer,67932,10009,Healthcare
41,PepsiCo,66504,6443,Consumer Defensive
42,Johnson & Johnson,65030,9672,Healthcare
43,State Farm Insurance Cos.,64305.1,845,Financial Services
44,Dell,62071,3492,Technology
45,WellPoint,60710.7,2646.7,Healthcare
46,Caterpillar,60138,4928,Industrials
47,Dow Chemical,59985,2742,Basic Materials
48,United Technologies,58190,4979,Industrials
49,Comcast,55842,4160,Communication Services
